"","01","A","B","D","G","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","330","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2495","2815","Cels"
"056",0.528,0.519,0.585,0.6,0.592,0.094,0.178,0.189,0.094,0,0.094,0.34,0.176,0.212,0.26,0.208,0.151,0.094,0.094,0.075,0.094,0.154,0.075,0.057,0.075,0.094,0.038,0.057,0.17,0.113,0.113,0.038,0.075,0.132,0.113,0.151,0.094,0.075,0.208,0.154,0.132,0.075,0.34,0.075,0.057,0.057,0.151,0.392,0.302,0.057,0.208,0.132,0.151,0.113,0.509,0.17,0.096,0.189,0.057,0.151,0.434,0.151,0.113,0.151,0.094,0.17,0.094,0.75
"1",0.528,0.5,0.585,0.6,0.592,0.075,0.178,0.226,0.094,0.094,0,0.302,0.176,0.231,0.28,0.189,0.132,0.113,0.113,0.094,0.094,0.173,0.075,0.075,0.094,0.113,0.057,0.075,0.151,0.132,0.151,0.057,0.094,0.113,0.094,0.151,0.075,0.094,0.208,0.135,0.113,0.094,0.358,0.094,0.038,0.075,0.132,0.392,0.321,0.075,0.245,0.113,0.132,0.094,0.509,0.17,0.096,0.208,0.075,0.151,0.415,0.094,0.132,0.151,0.132,0.151,0.113,0.75
"6",0.453,0.442,0.472,0.52,0.612,0.302,0.356,0.358,0.283,0.34,0.302,0,0.373,0.385,0.3,0.321,0.34,0.283,0.283,0.302,0.34,0.308,0.283,0.283,0.34,0.283,0.302,0.283,0.377,0.358,0.321,0.302,0.264,0.34,0.321,0.34,0.302,0.283,0.415,0.404,0.321,0.302,0.321,0.34,0.302,0.283,0.283,0.314,0.34,0.283,0.377,0.358,0.34,0.358,0.434,0.283,0.269,0.34,0.283,0.34,0.302,0.34,0.358,0.283,0.34,0.302,0.34,0.625
"33",0.529,0.52,0.588,0.625,0.596,0.157,0.209,0.294,0.176,0.176,0.176,0.373,0,0.3,0.286,0.275,0.176,0.196,0.196,0.176,0.196,0.22,0.157,0.157,0.176,0.196,0.176,0.196,0.216,0.235,0.176,0.176,0.176,0.196,0.176,0.196,0.157,0.176,0.314,0.24,0.275,0.176,0.353,0.216,0.157,0.157,0.196,0.429,0.333,0.157,0.255,0.275,0.196,0.176,0.51,0.216,0.16,0.176,0.157,0.196,0.431,0.196,0.255,0.176,0.216,0.216,0.196,0.75
"69",0.481,0.431,0.5,0.571,0.542,0.192,0.227,0.308,0.192,0.212,0.231,0.385,0.3,0,0.286,0.212,0.212,0.192,0.192,0.154,0.231,0.25,0.212,0.154,0.173,0.192,0.173,0.192,0.25,0.212,0.25,0.173,0.173,0.192,0.173,0.25,0.192,0.173,0.231,0.235,0.269,0.173,0.308,0.212,0.192,0.154,0.192,0.38,0.288,0.154,0.308,0.192,0.212,0.212,0.5,0.269,0.176,0.231,0.154,0.25,0.423,0.269,0.173,0.231,0.25,0.212,0.173,0.5
"88",0.42,0.408,0.56,0.511,0.522,0.26,0.19,0.28,0.28,0.26,0.28,0.3,0.286,0.286,0,0.22,0.26,0.24,0.24,0.26,0.32,0.265,0.24,0.24,0.22,0.24,0.26,0.24,0.32,0.3,0.26,0.26,0.22,0.24,0.24,0.26,0.26,0.26,0.3,0.327,0.3,0.26,0.26,0.3,0.26,0.24,0.24,0.271,0.24,0.24,0.34,0.26,0.26,0.24,0.44,0.22,0.245,0.34,0.24,0.26,0.4,0.28,0.26,0.2,0.28,0.26,0.28,0.5
"104",0.415,0.385,0.509,0.58,0.571,0.208,0.222,0.283,0.226,0.208,0.189,0.321,0.275,0.212,0.22,0,0.226,0.226,0.226,0.208,0.226,0.269,0.226,0.189,0.17,0.226,0.17,0.189,0.283,0.208,0.245,0.17,0.208,0.245,0.226,0.264,0.208,0.208,0.264,0.231,0.208,0.208,0.302,0.208,0.17,0.189,0.208,0.333,0.245,0.189,0.34,0.17,0.226,0.189,0.434,0.245,0.192,0.283,0.189,0.264,0.34,0.226,0.17,0.208,0.264,0.226,0.17,0.625
"131",0.528,0.519,0.585,0.58,0.592,0.094,0.178,0.264,0.094,0.151,0.132,0.34,0.176,0.212,0.26,0.226,0,0.132,0.132,0.113,0.17,0.212,0.151,0.094,0.113,0.132,0.113,0.132,0.17,0.113,0.17,0.113,0.113,0.17,0.113,0.17,0.094,0.113,0.208,0.154,0.208,0.113,0.358,0.151,0.094,0.094,0.151,0.431,0.321,0.094,0.226,0.132,0.132,0.113,0.509,0.17,0.115,0.208,0.094,0.151,0.377,0.151,0.113,0.151,0.208,0.17,0.132,0.625
"205",0.547,0.519,0.604,0.62,0.612,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0,0,0.057,0.113,0.173,0.094,0.038,0.094,0.038,0.057,0.038,0.151,0.132,0.132,0.057,0.019,0.113,0.094,0.113,0.075,0.057,0.226,0.173,0.151,0.057,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.132,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.151,0.151,0.113,0.875
"209",0.547,0.519,0.604,0.62,0.612,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0,0,0.057,0.113,0.173,0.094,0.038,0.094,0.038,0.057,0.038,0.151,0.132,0.132,0.057,0.019,0.113,0.094,0.113,0.075,0.057,0.226,0.173,0.151,0.057,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.132,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.151,0.151,0.113,0.875
"226",0.528,0.481,0.566,0.58,0.571,0.057,0.178,0.189,0.057,0.075,0.094,0.302,0.176,0.154,0.26,0.208,0.113,0.057,0.057,0,0.094,0.154,0.075,0.019,0.075,0.057,0.038,0.057,0.132,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0.038,0.189,0.154,0.132,0.038,0.302,0.075,0.057,0.019,0.113,0.392,0.302,0.019,0.189,0.132,0.113,0.113,0.509,0.17,0.058,0.151,0.019,0.113,0.396,0.151,0.113,0.151,0.132,0.132,0.094,0.75
"323",0.566,0.538,0.623,0.64,0.633,0.113,0.222,0.245,0.094,0.094,0.094,0.34,0.196,0.231,0.32,0.226,0.17,0.113,0.113,0.094,0,0.192,0.113,0.075,0.094,0.113,0.057,0.075,0.17,0.113,0.132,0.057,0.094,0.113,0.132,0.17,0.113,0.094,0.226,0.154,0.151,0.094,0.358,0.094,0.075,0.075,0.17,0.431,0.34,0.075,0.245,0.151,0.17,0.132,0.509,0.208,0.115,0.226,0.075,0.17,0.396,0.17,0.132,0.189,0.113,0.17,0.094,0.75
"330",0.423,0.451,0.519,0.49,0.542,0.154,0.227,0.25,0.154,0.154,0.173,0.308,0.22,0.25,0.265,0.269,0.212,0.173,0.173,0.154,0.192,0,0.115,0.135,0.192,0.173,0.154,0.173,0.231,0.231,0.173,0.154,0.154,0.212,0.173,0.192,0.135,0.154,0.288,0.255,0.25,0.154,0.269,0.173,0.154,0.135,0.212,0.32,0.25,0.135,0.25,0.25,0.212,0.212,0.442,0.212,0.137,0.173,0.135,0.192,0.346,0.25,0.212,0.192,0.135,0.231,0.212,0.75
"424",0.472,0.462,0.528,0.56,0.551,0.094,0.156,0.17,0.075,0.075,0.075,0.283,0.157,0.212,0.24,0.226,0.151,0.094,0.094,0.075,0.113,0.115,0,0.057,0.113,0.094,0.075,0.094,0.17,0.151,0.094,0.075,0.075,0.094,0.113,0.151,0.094,0.075,0.245,0.192,0.132,0.075,0.302,0.113,0.094,0.057,0.151,0.353,0.264,0.057,0.208,0.132,0.151,0.151,0.453,0.151,0.096,0.151,0.057,0.151,0.396,0.151,0.151,0.132,0.113,0.17,0.132,0.75
