"","P46","01","A","B","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","RomFragA","RomFragD"
"330",18,52,51,52,49,29,48,45,52,44,52,52,52,52,52,50,52,49,52,52,52,52,52,52,47,52,42,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,43,52,43,46,52,52,24,44
"365",14,43,42,43,42,25,40,35,43,35,43,43,43,43,43,41,42,40,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,40,43,38,36,43,43,18,36
"424",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"440",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"460",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"489",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"517",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"547",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"614",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"618",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"796",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"910",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
