"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2344","2400","2412","2464","2495","2815","arm","eth","slav","cop-sa","cop-bo","it-ar","it-b","it-d","it-f","it-g","it-o","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"205",0.714,0.516,0.467,0.613,0.296,0.613,0.774,0.806,0.097,0.065,0.258,0.129,0.258,0,0.258,0.484,0.161,0.194,0.29,0.097,0,0,0.065,0.129,0.226,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.323,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.194,0.129,0.065,0.129,0.226,0.263,0.258,0.161,0.387,0.258,0.065,0.192,0.476,0.207,0.538,0.444,0.484,0.607,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.586,0.31
"209",0.714,0.516,0.467,0.613,0.296,0.613,0.774,0.806,0.097,0.065,0.258,0.129,0.258,0,0.258,0.484,0.161,0.194,0.29,0.097,0,0,0.065,0.129,0.226,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.323,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.194,0.129,0.065,0.129,0.226,0.263,0.258,0.161,0.387,0.258,0.065,0.192,0.476,0.207,0.538,0.444,0.484,0.607,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.586,0.31
"226",0.714,0.516,0.433,0.581,0.333,0.613,0.742,0.774,0.097,0.065,0.258,0.129,0.226,0.065,0.258,0.484,0.226,0.194,0.258,0.097,0.065,0.065,0,0.129,0.258,0.065,0.097,0.129,0.097,0.065,0.161,0.129,0.032,0.129,0.129,0.067,0.194,0.29,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.226,0.129,0.065,0.129,0.258,0.263,0.226,0.161,0.387,0.258,0.065,0.231,0.524,0.207,0.538,0.444,0.452,0.607,0.667,0.484,0.613,0.533,0.318,0.182,0.5,0.452,0.467,0.452,0.586,0.31
"323",0.679,0.484,0.5,0.516,0.407,0.677,0.774,0.806,0.161,0.129,0.29,0.161,0.323,0.129,0.258,0.452,0.29,0.258,0.355,0.161,0.129,0.129,0.129,0,0.355,0.129,0.194,0.161,0.161,0.129,0.161,0.194,0.097,0.161,0.129,0.033,0.258,0.387,0.097,0.258,0.194,0.194,0.194,0.233,0.194,0.194,0.161,0.29,0.29,0.258,0.097,0.129,0.194,0.129,0.355,0.129,0.258,0.226,0.097,0.29,0.194,0.129,0.194,0.258,0.421,0.258,0.161,0.419,0.226,0.129,0.308,0.429,0.172,0.423,0.407,0.484,0.607,0.667,0.484,0.613,0.533,0.318,0.136,0.429,0.452,0.467,0.452,0.552,0.379
"330",0.679,0.452,0.3,0.516,0.259,0.677,0.774,0.806,0.29,0.226,0.29,0.29,0.258,0.226,0.323,0.452,0.161,0.355,0.29,0.323,0.226,0.226,0.258,0.355,0,0.29,0.226,0.355,0.29,0.29,0.29,0.258,0.258,0.355,0.355,0.3,0.323,0.161,0.258,0.29,0.29,0.29,0.29,0.233,0.258,0.323,0.323,0.387,0.29,0.355,0.323,0.29,0.258,0.323,0.323,0.29,0.387,0.387,0.258,0.355,0.323,0.29,0.29,0.355,0.368,0.194,0.29,0.419,0.387,0.258,0.385,0.524,0.345,0.5,0.407,0.581,0.679,0.733,0.548,0.677,0.6,0.5,0.364,0.357,0.516,0.533,0.516,0.517,0.414
"440",0.714,0.516,0.467,0.581,0.37,0.581,0.742,0.774,0.097,0.065,0.258,0.129,0.258,0.065,0.226,0.452,0.226,0.194,0.29,0.097,0.065,0.065,0.065,0.129,0.29,0,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.161,0.29,0.032,0.161,0.129,0.097,0.129,0.167,0.129,0.129,0.097,0.29,0.194,0.258,0.097,0.065,0.129,0.097,0.29,0.065,0.161,0.226,0.032,0.226,0.129,0.065,0.129,0.226,0.316,0.258,0.161,0.387,0.29,0.065,0.231,0.524,0.207,0.5,0.444,0.484,0.607,0.633,0.516,0.613,0.567,0.364,0.182,0.429,0.484,0.5,0.484,0.586,0.31
"460",0.75,0.548,0.367,0.645,0.37,0.645,0.806,0.806,0.065,0.065,0.323,0.129,0.129,0.129,0.258,0.548,0.226,0.194,0.194,0.097,0.129,0.129,0.097,0.194,0.226,0.129,0,0.129,0.097,0.129,0.097,0.032,0.097,0.129,0.129,0.133,0.129,0.226,0.097,0.129,0.129,0.065,0.065,0.267,0.065,0.097,0.161,0.226,0.226,0.258,0.161,0.065,0.129,0.097,0.387,0.129,0.161,0.194,0.097,0.194,0.129,0.065,0.065,0.194,0.263,0.194,0.097,0.355,0.226,0.129,0.192,0.571,0.276,0.538,0.444,0.516,0.643,0.7,0.548,0.645,0.567,0.318,0.182,0.5,0.516,0.533,0.516,0.552,0.276
"489",0.714,0.516,0.433,0.645,0.37,0.581,0.774,0.742,0.097,0.129,0.29,0.194,0.258,0.129,0.29,0.516,0.29,0.129,0.323,0.097,0.129,0.129,0.129,0.161,0.355,0.129,0.129,0,0.097,0.129,0.161,0.129,0.097,0.129,0.032,0.133,0.194,0.355,0.097,0.194,0.194,0.129,0.129,0.267,0.129,0.129,0.161,0.258,0.226,0.29,0.097,0.065,0.194,0.065,0.355,0.129,0.194,0.226,0.097,0.226,0.129,0.065,0.129,0.226,0.368,0.29,0.161,0.387,0.258,0.129,0.231,0.524,0.241,0.538,0.444,0.548,0.571,0.633,0.548,0.581,0.567,0.364,0.182,0.5,0.516,0.533,0.516,0.552,0.31
"517",0.75,0.484,0.433,0.613,0.333,0.581,0.774,0.774,0.065,0.097,0.258,0.161,0.194,0.097,0.258,0.484,0.226,0.161,0.258,0.065,0.097,0.097,0.097,0.161,0.29,0.097,0.097,0.097,0,0.097,0.065,0.129,0.065,0.097,0.097,0.1,0.161,0.29,0.065,0.097,0.161,0.097,0.097,0.2,0.097,0.097,0.129,0.226,0.161,0.258,0.129,0.032,0.097,0.065,0.323,0.097,0.161,0.226,0.065,0.194,0.065,0.032,0.097,0.226,0.263,0.258,0.065,0.323,0.226,0.032,0.154,0.476,0.207,0.5,0.407,0.484,0.607,0.633,0.516,0.613,0.533,0.318,0.136,0.429,0.484,0.5,0.484,0.517,0.241
"547",0.75,0.484,0.433,0.613,0.333,0.613,0.774,0.806,0.097,0.065,0.226,0.097,0.258,0.065,0.258,0.452,0.226,0.194,0.29,0.065,0.065,0.065,0.065,0.129,0.29,0.065,0.129,0.129,0.097,0,0.161,0.161,0.032,0.065,0.129,0.067,0.129,0.323,0.032,0.194,0.129,0.129,0.129,0.133,0.129,0.065,0.032,0.29,0.194,0.258,0.097,0.065,0.129,0.097,0.323,0.065,0.161,0.194,0.032,0.161,0.065,0.065,0.097,0.194,0.263,0.258,0.161,0.355,0.29,0.065,0.231,0.524,0.207,0.538,0.444,0.452,0.607,0.667,0.516,0.645,0.5,0.364,0.182,0.5,0.484,0.5,0.484,0.517,0.241
"614",0.714,0.484,0.433,0.613,0.407,0.645,0.839,0.839,0.097,0.097,0.323,0.129,0.194,0.161,0.258,0.484,0.226,0.226,0.258,0.129,0.161,0.161,0.161,0.161,0.29,0.161,0.097,0.161,0.065,0.161,0,0.129,0.129,0.129,0.161,0.133,0.161,0.29,0.129,0.097,0.161,0.097,0.097,0.233,0.097,0.129,0.194,0.258,0.226,0.29,0.194,0.097,0.097,0.129,0.387,0.161,0.194,0.226,0.129,0.226,0.129,0.097,0.097,0.226,0.316,0.258,0,0.323,0.258,0.097,0.192,0.571,0.276,0.462,0.444,0.548,0.679,0.7,0.581,0.677,0.6,0.364,0.182,0.429,0.548,0.567,0.548,0.483,0.276
"618",0.75,0.548,0.367,0.645,0.37,0.677,0.806,0.806,0.097,0.097,0.323,0.161,0.161,0.161,0.258,0.548,0.258,0.226,0.226,0.129,0.161,0.161,0.129,0.194,0.258,0.161,0.032,0.129,0.129,0.161,0.129,0,0.129,0.161,0.129,0.167,0.161,0.258,0.129,0.161,0.161,0.097,0.097,0.3,0.097,0.129,0.194,0.226,0.258,0.258,0.161,0.097,0.161,0.065,0.387,0.161,0.194,0.194,0.129,0.226,0.161,0.097,0.097,0.194,0.316,0.194,0.129,0.387,0.226,0.161,0.231,0.571,0.276,0.5,0.444,0.548,0.643,0.733,0.548,0.645,0.567,0.318,0.182,0.429,0.516,0.533,0.516,0.552,0.31
"796",0.714,0.484,0.433,0.581,0.333,0.581,0.742,0.774,0.065,0.032,0.226,0.097,0.226,0.032,0.226,0.452,0.194,0.161,0.258,0.065,0.032,0.032,0.032,0.097,0.258,0.032,0.097,0.097,0.065,0.032,0.129,0.129,0,0.097,0.097,0.033,0.161,0.29,0,0.161,0.097,0.097,0.097,0.167,0.097,0.097,0.065,0.258,0.194,0.226,0.065,0.032,0.097,0.065,0.29,0.032,0.161,0.194,0,0.194,0.097,0.032,0.097,0.226,0.263,0.226,0.129,0.355,0.258,0.032,0.192,0.476,0.172,0.5,0.407,0.452,0.607,0.633,0.484,0.613,0.533,0.318,0.136,0.429,0.452,0.467,0.452,0.552,0.276
"910",0.786,0.484,0.467,0.645,0.37,0.645,0.839,0.839,0.097,0.129,0.29,0.129,0.258,0.129,0.323,0.484,0.29,0.194,0.323,0.065,0.129,0.129,0.129,0.161,0.355,0.129,0.129,0.129,0.097,0.065,0.129,0.161,0.097,0,0.129,0.1,0.129,0.355,0.097,0.194,0.194,0.129,0.129,0.167,0.129,0.065,0.097,0.29,0.194,0.323,0.161,0.065,0.194,0.097,0.387,0.129,0.161,0.226,0.097,0.161,0.065,0.065,0.097,0.194,0.316,0.323,0.129,0.29,0.29,0.129,0.231,0.571,0.276,0.538,0.481,0.516,0.643,0.7,0.581,0.677,0.533,0.409,0.227,0.5,0.548,0.567,0.548,0.483,0.241
"927",0.714,0.516,0.433,0.645,0.37,0.581,0.774,0.742,0.097,0.129,0.29,0.194,0.258,0.129,0.258,0.516,0.29,0.129,0.323,0.097,0.129,0.129,0.129,0.129,0.355,0.129,0.129,0.032,0.097,0.129,0.161,0.129,0.097,0.129,0,0.133,0.194,0.355,0.097,0.194,0.194,0.129,0.129,0.267,0.129,0.129,0.161,0.226,0.226,0.258,0.065,0.065,0.194,0.065,0.355,0.129,0.194,0.194,0.097,0.226,0.129,0.065,0.129,0.194,0.368,0.258,0.161,0.387,0.226,0.129,0.231,0.476,0.241,0.538,0.444,0.548,0.571,0.633,0.548,0.581,0.567,0.318,0.136,0.5,0.516,0.533,0.516,0.552,0.31
"945",0.704,0.5,0.483,0.533,0.385,0.633,0.767,0.8,0.1,0.067,0.267,0.1,0.267,0.067,0.267,0.467,0.233,0.2,0.3,0.1,0.067,0.067,0.067,0.033,0.3,0.067,0.133,0.133,0.1,0.067,0.133,0.167,0.033,0.1,0.133,0,0.2,0.333,0.033,0.2,0.133,0.133,0.133,0.2,0.133,0.133,0.1,0.3,0.233,0.267,0.1,0.067,0.133,0.1,0.333,0.067,0.2,0.233,0.033,0.233,0.133,0.067,0.133,0.267,0.333,0.267,0.133,0.367,0.233,0.067,0.24,0.45,0.143,0.44,0.385,0.433,0.593,0.621,0.467,0.6,0.517,0.333,0.143,0.429,0.433,0.448,0.433,0.571,0.321
"999",0.786,0.548,0.433,0.677,0.407,0.645,0.839,0.839,0.129,0.129,0.355,0.161,0.258,0.194,0.29,0.548,0.258,0.226,0.323,0.129,0.194,0.194,0.194,0.258,0.323,0.161,0.129,0.194,0.161,0.129,0.161,0.161,0.161,0.129,0.194,0.2,0,0.29,0.161,0.129,0.194,0.097,0.129,0.2,0.097,0.097,0.161,0.323,0.161,0.355,0.226,0.129,0.194,0.161,0.387,0.194,0.161,0.226,0.161,0.161,0.129,0.129,0.097,0.161,0.316,0.29,0.161,0.355,0.323,0.194,0.269,0.619,0.345,0.538,0.481,0.548,0.643,0.7,0.613,0.677,0.567,0.455,0.273,0.5,0.581,0.6,0.581,0.517,0.276
