"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2344","2400","2412","2464","2495","2815","arm","eth","slav","cop-sa","cop-bo","it-ar","it-b","it-d","it-f","it-g","it-o","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"044",0.679,0.355,0.367,0.452,0.222,0.677,0.742,0.774,0.29,0.258,0,0.258,0.29,0.258,0.258,0.258,0.323,0.323,0.387,0.226,0.258,0.258,0.258,0.29,0.29,0.258,0.323,0.29,0.258,0.226,0.323,0.323,0.226,0.29,0.29,0.267,0.355,0.323,0.226,0.355,0.323,0.323,0.323,0.233,0.323,0.29,0.258,0.29,0.226,0.258,0.258,0.258,0.29,0.258,0.226,0.258,0.323,0.323,0.226,0.387,0.258,0.258,0.258,0.355,0.421,0.258,0.323,0.355,0.355,0.226,0.385,0.381,0.276,0.385,0.333,0.548,0.714,0.733,0.484,0.677,0.633,0.364,0.364,0.429,0.452,0.467,0.452,0.414,0.379
"056",0.75,0.484,0.4,0.645,0.407,0.677,0.839,0.871,0.129,0.065,0.258,0,0.258,0.129,0.258,0.452,0.226,0.258,0.29,0.097,0.129,0.129,0.129,0.161,0.29,0.129,0.129,0.194,0.161,0.097,0.129,0.161,0.097,0.129,0.194,0.1,0.161,0.323,0.097,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.129,0.323,0.226,0.29,0.161,0.129,0.129,0.161,0.387,0.129,0.161,0.161,0.097,0.226,0.161,0.129,0.065,0.226,0.316,0.258,0.129,0.323,0.323,0.129,0.269,0.619,0.276,0.538,0.481,0.484,0.643,0.733,0.581,0.71,0.6,0.409,0.227,0.5,0.548,0.567,0.548,0.552,0.31
"075",0.786,0.581,0.4,0.613,0.37,0.71,0.806,0.806,0.194,0.194,0.29,0.258,0,0.258,0.323,0.484,0.29,0.323,0.194,0.226,0.258,0.258,0.226,0.323,0.258,0.258,0.129,0.258,0.194,0.258,0.194,0.161,0.226,0.258,0.258,0.267,0.258,0.258,0.226,0.226,0.258,0.194,0.194,0.3,0.194,0.226,0.29,0.226,0.258,0.258,0.29,0.194,0.226,0.226,0.419,0.258,0.29,0.323,0.226,0.323,0.194,0.194,0.194,0.323,0.316,0.258,0.194,0.387,0.323,0.226,0.269,0.524,0.276,0.538,0.407,0.581,0.714,0.767,0.645,0.71,0.633,0.318,0.273,0.357,0.613,0.633,0.613,0.414,0.345
"1",0.714,0.516,0.467,0.613,0.296,0.613,0.774,0.806,0.097,0.065,0.258,0.129,0.258,0,0.258,0.484,0.161,0.194,0.29,0.097,0,0,0.065,0.129,0.226,0.065,0.129,0.129,0.097,0.065,0.161,0.161,0.032,0.129,0.129,0.067,0.194,0.323,0.032,0.194,0.129,0.129,0.129,0.2,0.129,0.129,0.097,0.258,0.226,0.226,0.097,0.065,0.129,0.097,0.323,0.065,0.194,0.226,0.032,0.194,0.129,0.065,0.129,0.226,0.263,0.258,0.161,0.387,0.258,0.065,0.192,0.476,0.207,0.538,0.444,0.484,0.607,0.667,0.516,0.645,0.567,0.318,0.136,0.429,0.484,0.5,0.484,0.586,0.31
"6",0.643,0.452,0.4,0.484,0.37,0.613,0.742,0.774,0.258,0.194,0.258,0.258,0.323,0.258,0,0.387,0.29,0.29,0.323,0.29,0.258,0.258,0.258,0.258,0.323,0.226,0.258,0.29,0.258,0.258,0.258,0.258,0.226,0.323,0.258,0.267,0.29,0.29,0.226,0.258,0.258,0.194,0.258,0.3,0.258,0.29,0.29,0.258,0.323,0.226,0.226,0.258,0.226,0.258,0.194,0.258,0.323,0.258,0.226,0.387,0.258,0.258,0.258,0.258,0.421,0.226,0.258,0.323,0.29,0.226,0.346,0.429,0.31,0.423,0.333,0.645,0.643,0.633,0.452,0.581,0.633,0.318,0.273,0.429,0.419,0.433,0.419,0.483,0.31
"33",0.679,0.29,0.433,0.29,0.407,0.645,0.613,0.645,0.516,0.484,0.258,0.452,0.484,0.484,0.387,0,0.516,0.516,0.581,0.452,0.484,0.484,0.484,0.452,0.452,0.452,0.548,0.516,0.484,0.452,0.484,0.548,0.452,0.484,0.516,0.467,0.548,0.516,0.452,0.548,0.516,0.516,0.548,0.4,0.548,0.516,0.484,0.516,0.419,0.484,0.484,0.484,0.484,0.484,0.323,0.484,0.516,0.516,0.452,0.613,0.484,0.484,0.484,0.548,0.579,0.484,0.484,0.484,0.581,0.452,0.538,0.524,0.517,0.423,0.407,0.613,0.679,0.633,0.484,0.548,0.6,0.545,0.591,0.5,0.452,0.467,0.452,0.379,0.586
"69",0.786,0.516,0.367,0.613,0.333,0.645,0.774,0.806,0.226,0.161,0.323,0.226,0.29,0.161,0.29,0.516,0,0.226,0.258,0.258,0.161,0.161,0.226,0.29,0.161,0.226,0.226,0.29,0.226,0.226,0.226,0.258,0.194,0.29,0.29,0.233,0.258,0.258,0.194,0.226,0.226,0.226,0.226,0.2,0.194,0.258,0.258,0.355,0.258,0.323,0.258,0.226,0.194,0.258,0.323,0.226,0.323,0.258,0.194,0.29,0.258,0.226,0.226,0.323,0.316,0.258,0.226,0.355,0.355,0.194,0.231,0.524,0.31,0.538,0.407,0.548,0.679,0.7,0.548,0.677,0.6,0.364,0.273,0.357,0.516,0.533,0.516,0.552,0.345
"88",0.714,0.484,0.433,0.613,0.37,0.516,0.742,0.71,0.161,0.194,0.323,0.258,0.323,0.194,0.29,0.516,0.226,0,0.323,0.161,0.194,0.194,0.194,0.258,0.355,0.194,0.194,0.129,0.161,0.194,0.226,0.226,0.161,0.194,0.129,0.2,0.226,0.355,0.161,0.226,0.258,0.194,0.194,0.267,0.161,0.194,0.226,0.29,0.258,0.323,0.194,0.129,0.258,0.161,0.323,0.194,0.258,0.258,0.161,0.258,0.194,0.129,0.194,0.323,0.316,0.355,0.226,0.258,0.29,0.194,0.231,0.476,0.345,0.538,0.407,0.581,0.607,0.567,0.516,0.548,0.6,0.318,0.318,0.5,0.484,0.5,0.484,0.483,0.31
"104",0.786,0.516,0.333,0.581,0.37,0.677,0.774,0.774,0.258,0.226,0.387,0.29,0.194,0.29,0.323,0.581,0.258,0.323,0,0.29,0.29,0.29,0.258,0.355,0.29,0.29,0.194,0.323,0.258,0.29,0.258,0.226,0.258,0.323,0.323,0.3,0.323,0.226,0.258,0.29,0.226,0.258,0.194,0.333,0.258,0.29,0.323,0.355,0.323,0.355,0.323,0.258,0.258,0.29,0.355,0.226,0.323,0.29,0.258,0.387,0.258,0.258,0.258,0.387,0.316,0.323,0.258,0.419,0.387,0.258,0.231,0.524,0.241,0.538,0.407,0.581,0.679,0.7,0.581,0.677,0.6,0.409,0.364,0.429,0.548,0.567,0.613,0.483,0.276
"131",0.786,0.452,0.4,0.645,0.333,0.613,0.806,0.806,0.065,0.097,0.226,0.097,0.226,0.097,0.29,0.452,0.258,0.161,0.29,0,0.097,0.097,0.097,0.161,0.323,0.097,0.097,0.097,0.065,0.065,0.129,0.129,0.065,0.065,0.097,0.1,0.129,0.323,0.065,0.161,0.161,0.097,0.097,0.2,0.097,0.065,0.097,0.258,0.129,0.29,0.129,0.032,0.161,0.065,0.355,0.097,0.097,0.161,0.065,0.161,0.065,0.032,0.032,0.194,0.263,0.29,0.129,0.29,0.258,0.097,0.192,0.524,0.241,0.538,0.444,0.452,0.571,0.667,0.548,0.645,0.533,0.364,0.182,0.5,0.516,0.533,0.516,0.517,0.241
