"","01","B","D","F","G","044","075","0150","0243","6","81","104","256","365","424","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","Byz","K","L","P","Lect","L596","it-ar","it-b","it-d","it-f","it-g","it-o","vg","arm","slav"
"2464",0.556,0.526,0.553,0.605,0.553,0.316,0.424,0.342,0.405,0.316,0.289,0.237,0.289,0.237,0.316,0.316,0.237,0.405,0.342,0.342,0.421,0.289,0.289,0.368,0.27,0.316,0.395,0,0.286,0.297,0.216,0.189,0.314,0.5,0.632,0.559,0.568,0.5,0.605,0.553,0.528,0.333,0.297
"Byz",0.559,0.639,0.472,0.528,0.5,0.139,0.065,0.167,0.486,0.222,0.417,0.306,0.25,0.194,0.028,0.306,0.25,0.486,0.028,0.25,0.5,0.111,0.333,0.194,0.343,0.222,0.286,0.286,0,0.083,0.111,0.167,0.029,1,0.528,0.531,0.543,0.417,0.583,0.472,0.457,0.382,0.194
"K",0.622,0.692,0.538,0.59,0.564,0.205,0.118,0.184,0.553,0.308,0.487,0.359,0.333,0.282,0.103,0.385,0.308,0.553,0.154,0.333,0.564,0.205,0.41,0.256,0.368,0.308,0.316,0.297,0.083,0,0.205,0.231,0.111,0.875,0.59,0.6,0.605,0.513,0.641,0.564,0.556,0.432,0.308
"L",0.676,0.59,0.436,0.513,0.487,0.282,0.206,0.263,0.553,0.256,0.41,0.256,0.256,0.205,0.154,0.282,0.205,0.474,0.154,0.308,0.564,0.154,0.41,0.205,0.395,0.282,0.368,0.216,0.111,0.205,0,0.154,0.056,0.75,0.59,0.571,0.526,0.487,0.564,0.538,0.528,0.378,0.231
"P",0.541,0.513,0.564,0.615,0.59,0.231,0.265,0.158,0.447,0.282,0.333,0.256,0.154,0.103,0.231,0.282,0.205,0.395,0.231,0.205,0.462,0.231,0.333,0.282,0.289,0.179,0.342,0.189,0.167,0.231,0.154,0,0.194,0.625,0.615,0.6,0.605,0.538,0.615,0.487,0.528,0.324,0.282
"Lect",0.6,0.649,0.432,0.486,0.486,0.216,0.094,0.194,0.528,0.216,0.459,0.351,0.297,0.243,0.054,0.351,0.297,0.528,0.054,0.324,0.541,0.162,0.378,0.189,0.389,0.27,0.306,0.314,0.029,0.111,0.056,0.194,0,1,0.568,0.576,0.556,0.459,0.568,0.514,0.514,0.4,0.222
"L596",0.5,0.125,0.75,0.625,0.625,0.75,1,0.75,0.25,0.625,0.375,0.375,0.5,0.5,0.875,0.25,0.375,0,1,0.5,0.25,0.875,0.5,0.5,0.5,0.625,0.375,0.5,1,0.875,0.75,0.625,1,0,0.625,0.5,0.625,0.625,0.5,0.5,0.5,0.375,0.5
"it-ar",0.684,0.575,0.425,0.475,0.475,0.55,0.543,0.538,0.641,0.575,0.5,0.55,0.55,0.5,0.575,0.575,0.575,0.615,0.55,0.55,0.65,0.55,0.575,0.6,0.564,0.525,0.641,0.632,0.528,0.59,0.59,0.615,0.568,0.625,0,0.222,0.256,0.325,0.425,0.2,0.297,0.658,0.513
"it-b",0.529,0.556,0.417,0.389,0.389,0.5,0.516,0.571,0.6,0.5,0.528,0.528,0.583,0.528,0.583,0.556,0.556,0.657,0.528,0.583,0.583,0.472,0.528,0.611,0.629,0.556,0.629,0.559,0.531,0.6,0.571,0.6,0.576,0.5,0.222,0,0.194,0.278,0.361,0.278,0.273,0.6,0.514
"it-d",0.568,0.59,0.256,0.41,0.41,0.513,0.588,0.605,0.579,0.538,0.564,0.538,0.615,0.564,0.59,0.59,0.564,0.632,0.564,0.667,0.564,0.487,0.538,0.59,0.605,0.59,0.684,0.568,0.543,0.605,0.526,0.605,0.556,0.625,0.256,0.194,0,0.359,0.308,0.308,0.361,0.676,0.579
"it-f",0.447,0.6,0.5,0.375,0.375,0.5,0.514,0.564,0.462,0.55,0.5,0.6,0.45,0.45,0.475,0.525,0.575,0.487,0.475,0.45,0.475,0.475,0.475,0.575,0.487,0.45,0.59,0.5,0.417,0.513,0.487,0.538,0.459,0.625,0.325,0.278,0.359,0,0.375,0.4,0.135,0.526,0.385
"it-g",0.447,0.625,0.375,0.2,0.2,0.575,0.571,0.538,0.564,0.6,0.525,0.575,0.6,0.625,0.625,0.625,0.575,0.615,0.6,0.6,0.525,0.6,0.625,0.675,0.564,0.575,0.667,0.605,0.583,0.641,0.564,0.615,0.568,0.5,0.425,0.361,0.308,0.375,0,0.35,0.486,0.553,0.564
"it-o",0.605,0.55,0.425,0.425,0.475,0.475,0.514,0.41,0.615,0.55,0.5,0.5,0.55,0.5,0.525,0.525,0.475,0.615,0.475,0.55,0.625,0.575,0.575,0.55,0.538,0.525,0.59,0.553,0.472,0.564,0.538,0.487,0.514,0.5,0.2,0.278,0.308,0.4,0.35,0,0.405,0.553,0.513
"vg",0.514,0.541,0.514,0.514,0.514,0.459,0.531,0.568,0.459,0.568,0.486,0.595,0.432,0.432,0.514,0.514,0.568,0.459,0.514,0.432,0.459,0.514,0.486,0.568,0.5,0.432,0.556,0.528,0.457,0.556,0.528,0.528,0.514,0.5,0.297,0.273,0.361,0.135,0.486,0.405,0,0.486,0.417
"arm",0.611,0.579,0.632,0.605,0.605,0.342,0.424,0.324,0.486,0.395,0.526,0.421,0.395,0.368,0.395,0.395,0.368,0.459,0.395,0.342,0.474,0.447,0.5,0.5,0.432,0.368,0.351,0.333,0.382,0.432,0.378,0.324,0.4,0.375,0.658,0.6,0.676,0.526,0.553,0.553,0.486,0,0.324
"slav",0.622,0.641,0.615,0.564,0.59,0.333,0.265,0.289,0.5,0.333,0.436,0.333,0.282,0.231,0.205,0.282,0.282,0.421,0.179,0.231,0.513,0.256,0.385,0.282,0.395,0.308,0.342,0.297,0.194,0.308,0.231,0.282,0.222,0.5,0.513,0.514,0.579,0.385,0.564,0.513,0.417,0.324,0
