"","P46","01","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","424-c","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","K","L","P","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-h","cop-sa","cop-bo","arm","slav"
"81",0.618,0.368,0.375,0.575,0.525,0.475,0.45,0.486,0.41,0.436,0.45,0.308,0,0.4,0.2,0.436,0.225,0.5,0.444,0.45,0.4,0.282,0.475,0.25,0.45,0.5,0.375,0.475,0.308,0.225,0.513,0.289,0.487,0.41,0.333,0.5,0.528,0.564,0.5,0.525,0.5,0.486,0.545,0.4,0.351,0.526,0.436
"104",0.618,0.605,0.525,0.55,0.55,0.5,0.375,0.4,0.333,0.436,0.25,0.538,0.4,0,0.35,0.231,0.3,0.325,0.778,0.25,0.05,0.41,0.375,0.4,0.45,0.3,0.375,0.3,0.308,0.375,0.41,0.237,0.359,0.256,0.256,0.55,0.528,0.538,0.6,0.575,0.5,0.595,0.333,0.486,0.486,0.421,0.333
"256",0.706,0.447,0.45,0.575,0.55,0.5,0.325,0.314,0.308,0.41,0.3,0.41,0.2,0.35,0,0.256,0.05,0.35,0.444,0.35,0.3,0.256,0.325,0.05,0.425,0.35,0.35,0.375,0.256,0.05,0.41,0.289,0.333,0.256,0.154,0.55,0.583,0.615,0.45,0.6,0.55,0.432,0.455,0.4,0.324,0.395,0.282
"263",0.735,0.622,0.615,0.59,0.59,0.538,0.256,0.265,0.237,0.474,0.205,0.615,0.436,0.231,0.256,0,0.205,0.179,0.875,0.256,0.179,0.474,0.205,0.256,0.487,0.179,0.359,0.282,0.316,0.282,0.316,0.189,0.184,0.158,0.132,0.59,0.571,0.632,0.487,0.615,0.513,0.5,0.312,0.588,0.472,0.351,0.211
"365",0.706,0.5,0.5,0.55,0.6,0.55,0.275,0.257,0.256,0.462,0.25,0.462,0.225,0.3,0.05,0.205,0,0.3,0.667,0.3,0.25,0.308,0.275,0.1,0.475,0.3,0.3,0.325,0.256,0.075,0.359,0.237,0.282,0.205,0.103,0.5,0.528,0.564,0.45,0.625,0.5,0.432,0.424,0.4,0.378,0.368,0.231
"424",0.676,0.632,0.625,0.525,0.55,0.55,0.225,0.143,0.205,0.513,0.275,0.641,0.5,0.325,0.35,0.179,0.3,0,1,0.3,0.275,0.513,0.1,0.35,0.525,0.175,0.375,0.2,0.385,0.325,0.308,0.316,0.103,0.154,0.231,0.575,0.583,0.59,0.475,0.625,0.525,0.514,0.273,0.6,0.541,0.395,0.205
"424-c",0.375,0.333,0.111,0.667,0.333,0.333,0.889,1,0.778,0.111,0.667,0.125,0.444,0.778,0.444,0.875,0.667,1,0,0.889,0.778,0.333,0.889,0.556,0.111,0.889,0.444,0.778,0.444,0.556,0.778,0.556,0.889,0.778,0.556,0.778,0.667,0.444,0.556,0.556,0.778,0.625,0.875,0.333,0.333,0.75,1
"436",0.647,0.579,0.6,0.625,0.65,0.65,0.325,0.343,0.436,0.462,0.325,0.538,0.45,0.25,0.35,0.256,0.3,0.3,0.889,0,0.2,0.308,0.4,0.4,0.475,0.375,0.375,0.275,0.436,0.375,0.359,0.316,0.385,0.282,0.282,0.575,0.556,0.59,0.525,0.625,0.525,0.514,0.424,0.457,0.459,0.395,0.282
"459",0.647,0.605,0.55,0.55,0.55,0.5,0.325,0.343,0.282,0.462,0.25,0.538,0.4,0.05,0.3,0.179,0.25,0.275,0.778,0.2,0,0.41,0.325,0.35,0.475,0.3,0.4,0.25,0.333,0.325,0.359,0.237,0.308,0.205,0.205,0.575,0.556,0.564,0.575,0.575,0.475,0.568,0.333,0.429,0.432,0.368,0.282
"1175",0.545,0.432,0.385,0.667,0.615,0.615,0.462,0.5,0.526,0.282,0.462,0.342,0.282,0.41,0.256,0.474,0.308,0.513,0.333,0.308,0.41,0,0.564,0.308,0.308,0.564,0.359,0.41,0.316,0.308,0.395,0.405,0.553,0.474,0.395,0.615,0.657,0.632,0.487,0.615,0.615,0.459,0.531,0.324,0.361,0.459,0.421
