"","01","B","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","330","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2495","2815","JohnComA"
"01",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"B",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"L",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"P",45,45,45,45,45,45,45,45,45,43,44,42,45,45,45,45,45,45,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,45,45,45,45,45,45,45,45,44,45,45,45,45,45,45,45,45,45,45,8
"044",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"049",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"056",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"1",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"6",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"33",51,51,51,43,51,51,51,51,51,51,50,49,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,49,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,8
"69",52,52,52,44,52,52,52,52,52,50,52,49,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,52,52,52,8
"88",50,50,50,42,50,50,50,50,50,49,49,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,50,50,50,8
"104",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"131",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"205",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"209",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"226",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"323",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"330",52,52,52,44,52,52,52,52,52,50,52,49,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,52,52,52,8
"424",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"440",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"460",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
"489",53,53,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,8
