"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2400","2412","2464","2495","2815","BasilPhilA"
"P46",86,86,85,86,73,85,85,85,86,85,86,86,86,86,86,85,86,86,86,86,86,86,86,86,84,86,86,86,86,86,86,86,86,86,86,85,86,86,86,84,86,86,86,85,86,85,86,86,86,86,86,86,86,86,86,86,85,86,86,85,86,86,85,86,86,86,86,82,85,31
"01",86,107,106,107,93,106,106,106,107,106,107,107,107,107,107,106,107,107,107,107,107,107,107,107,105,107,107,107,107,107,107,107,107,107,107,106,107,107,107,105,107,107,107,106,107,106,107,107,107,107,107,107,107,107,107,107,106,107,107,106,107,107,106,106,107,107,107,103,106,32
"A",85,106,106,106,92,105,105,105,106,105,106,106,106,106,106,105,106,106,106,106,106,106,106,106,104,106,106,106,106,106,106,106,106,106,106,105,106,106,106,104,106,106,106,105,106,105,106,106,106,106,106,106,106,106,106,106,105,106,106,105,106,106,105,105,106,106,106,102,105,31
"B",86,107,106,107,93,106,106,106,107,106,107,107,107,107,107,106,107,107,107,107,107,107,107,107,105,107,107,107,107,107,107,107,107,107,107,106,107,107,107,105,107,107,107,106,107,106,107,107,107,107,107,107,107,107,107,107,106,107,107,106,107,107,106,106,107,107,107,103,106,32
"C",73,93,92,93,93,93,93,93,93,92,93,93,93,93,93,92,93,93,93,93,93,93,93,93,92,93,93,93,93,93,93,93,93,93,93,92,93,93,93,91,93,93,93,92,93,92,93,93,93,93,93,93,93,93,93,93,93,93,93,92,93,93,92,93,93,93,93,89,92,27
"D",85,106,105,106,93,106,106,106,106,105,106,106,106,106,106,105,106,106,106,106,106,106,106,106,104,106,106,106,106,106,106,106,106,106,106,105,106,106,106,104,106,106,106,105,106,105,106,106,106,106,106,106,106,106,106,106,105,106,106,105,106,106,105,105,106,106,106,102,105,32
"F",85,106,105,106,93,106,106,106,106,105,106,106,106,106,106,105,106,106,106,106,106,106,106,106,104,106,106,106,106,106,106,106,106,106,106,105,106,106,106,104,106,106,106,105,106,105,106,106,106,106,106,106,106,106,106,106,105,106,106,105,106,106,105,105,106,106,106,102,105,32
"G",85,106,105,106,93,106,106,106,106,105,106,106,106,106,106,105,106,106,106,106,106,106,106,106,104,106,106,106,106,106,106,106,106,106,106,105,106,106,106,104,106,106,106,105,106,105,106,106,106,106,106,106,106,106,106,106,105,106,106,105,106,106,105,105,106,106,106,102,105,32
"K",86,107,106,107,93,106,106,106,107,106,107,107,107,107,107,106,107,107,107,107,107,107,107,107,105,107,107,107,107,107,107,107,107,107,107,106,107,107,107,105,107,107,107,106,107,106,107,107,107,107,107,107,107,107,107,107,106,107,107,106,107,107,106,106,107,107,107,103,106,32
"L",85,106,105,106,92,105,105,105,106,106,106,106,106,106,106,105,106,106,106,106,106,106,106,106,104,106,106,106,106,106,106,106,106,106,106,105,106,106,106,104,106,106,106,105,106,105,106,106,106,106,106,106,106,106,106,106,105,106,106,105,106,106,105,105,106,106,106,102,105,32
"044",86,107,106,107,93,106,106,106,107,106,107,107,107,107,107,106,107,107,107,107,107,107,107,107,105,107,107,107,107,107,107,107,107,107,107,106,107,107,107,105,107,107,107,106,107,106,107,107,107,107,107,107,107,107,107,107,106,107,107,106,107,107,106,106,107,107,107,103,106,32
