"","01","A","B","D","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2412","2464","2495","2815","RomFragA","RomFragC","RomFragD"
"01",53,52,53,50,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,43,46,53,53,24,10,44
"A",52,52,52,49,48,45,52,44,52,52,52,52,52,50,51,49,52,52,52,52,52,52,47,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,52,43,46,52,52,24,10,44
"B",53,52,53,50,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,43,46,53,53,24,10,44
"D",50,49,50,50,47,42,50,42,50,50,50,50,50,48,49,47,50,50,50,50,50,50,47,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,48,50,50,50,50,50,50,50,50,49,50,50,50,50,50,50,50,50,42,43,50,50,22,10,41
"G",49,48,49,47,49,41,49,43,49,49,49,49,49,47,48,46,49,49,49,49,49,49,45,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,49,49,49,49,49,49,49,47,49,49,49,49,49,49,49,49,48,49,49,49,49,49,49,49,49,40,42,49,49,23,10,40
"K",45,45,45,42,41,45,45,37,45,45,45,45,45,43,45,43,45,45,45,45,45,45,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,45,45,45,45,45,45,45,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,40,45,45,45,24,10,40
"L",53,52,53,50,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,43,46,53,53,24,10,44
"P",45,44,45,42,43,37,45,45,45,45,45,45,45,43,44,42,45,45,45,45,45,45,40,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,45,45,45,45,45,45,45,43,45,45,45,45,45,45,45,45,44,45,45,45,45,45,45,45,45,35,38,45,45,20,9,37
"044",53,52,53,50,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,53,43,46,53,53,24,10,44
