"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"044",0.606,0.485,0.667,0.542,0.656,0.704,0.677,0.276,0.242,0.312,0,0.273,0.273,0.242,0.424,0.321,0.333,0.219,0.303,0.242,0.152,0.152,0.242,0.212,0.29,0.273,0.444,0.242,0.212,0.212,0.242,0.242,0.242,0.214,0.273,0.303,0.242,0.212,0.242,0.303,0.273,0.212,0.242,0.424,0.25,0.303,0.242,0.364,0.188,0.273,0.273,0.303,0.517,0.333,0.212,0.455,0.242,0.303,0.242,0.364,0.333,0.25,0.303,0.212,0.303,0.303,0.273,0.242,0.364,0.333,0.273,0.258,0.281,0.333,0.212,0.481,0.469,0.469,0.458,0.3,0.545,0.5,0.656,0.613,0.515,0.576,0.615,0.464,0.241,0.417,0.5,0.5,0.464,0.393,0.276
"049",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0.03,0.219,0.273,0,0.061,0.061,0.424,0.107,0.152,0.125,0.212,0.091,0.121,0.121,0.03,0.091,0.161,0.152,0.333,0.061,0.061,0.061,0.091,0.03,0.091,0.107,0.121,0.121,0.03,0.061,0.091,0.091,0.061,0.061,0.091,0.273,0.125,0.212,0.091,0.242,0.062,0.121,0.061,0.152,0.552,0.212,0.061,0.303,0.091,0.121,0.091,0.455,0.182,0.094,0.182,0.061,0.091,0.303,0.061,0.091,0.121,0.083,0.03,0.032,0.219,0.182,0.121,0.37,0.562,0.562,0.375,0.167,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.286,0.138,0.333,0.5,0.5,0.357,0.464,0.241
"056",0.636,0.576,0.727,0.375,0.562,0.815,0.774,0.069,0.03,0.219,0.273,0.061,0,0.091,0.455,0.143,0.091,0.125,0.212,0.091,0.121,0.121,0.03,0.121,0.194,0.121,0.37,0.091,0.061,0.061,0.091,0.03,0.091,0.107,0.061,0.091,0.03,0.061,0.091,0.03,0,0.061,0.091,0.212,0.125,0.182,0.091,0.273,0.062,0.061,0.061,0.152,0.552,0.242,0.061,0.242,0.091,0.121,0.091,0.485,0.212,0.094,0.212,0.061,0.091,0.273,0.061,0.03,0.152,0.125,0.061,0.032,0.219,0.182,0.121,0.407,0.594,0.594,0.333,0.2,0.636,0.357,0.625,0.581,0.606,0.545,0.577,0.321,0.172,0.417,0.536,0.536,0.393,0.5,0.276
"1",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.061,0.188,0.242,0.061,0.091,0,0.394,0.143,0.182,0.094,0.182,0.061,0.091,0.091,0.061,0.061,0.129,0.121,0.296,0.03,0.03,0.03,0.061,0.061,0.061,0.107,0.091,0.152,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.303,0.094,0.242,0.061,0.212,0.031,0.091,0.091,0.121,0.552,0.182,0.03,0.273,0.061,0.152,0.061,0.424,0.212,0.062,0.152,0.03,0.121,0.273,0.091,0.061,0.152,0.083,0.061,0.065,0.188,0.152,0.091,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
"6",0.485,0.515,0.455,0.333,0.594,0.741,0.677,0.379,0.424,0.406,0.424,0.424,0.455,0.394,0,0.464,0.455,0.406,0.394,0.424,0.394,0.394,0.424,0.424,0.419,0.364,0.481,0.364,0.394,0.394,0.424,0.424,0.424,0.5,0.424,0.455,0.424,0.394,0.485,0.455,0.455,0.394,0.424,0.455,0.469,0.485,0.424,0.333,0.406,0.455,0.424,0.364,0.345,0.394,0.394,0.576,0.424,0.485,0.394,0.303,0.394,0.406,0.394,0.394,0.485,0.242,0.424,0.424,0.424,0.458,0.424,0.452,0.469,0.364,0.364,0.333,0.406,0.406,0.625,0.367,0.576,0.5,0.625,0.645,0.667,0.576,0.692,0.464,0.414,0.5,0.5,0.5,0.464,0.429,0.379
"33",0.643,0.607,0.714,0.45,0.63,0.826,0.731,0.083,0.107,0.259,0.321,0.107,0.143,0.143,0.464,0,0.214,0.214,0.286,0.179,0.179,0.179,0.107,0.179,0.259,0.214,0.435,0.143,0.143,0.143,0.179,0.107,0.179,0.167,0.214,0.214,0.107,0.143,0.143,0.179,0.143,0.143,0.179,0.286,0.222,0.321,0.179,0.321,0.148,0.179,0.143,0.214,0.52,0.321,0.143,0.357,0.179,0.179,0.179,0.464,0.25,0.148,0.214,0.143,0.179,0.357,0.107,0.179,0.107,0.1,0.107,0.111,0.259,0.25,0.143,0.5,0.63,0.593,0.35,0.28,0.714,0.522,0.667,0.615,0.607,0.571,0.682,0.261,0.25,0.333,0.609,0.609,0.435,0.478,0.333
"69",0.636,0.576,0.667,0.375,0.594,0.852,0.774,0.138,0.121,0.281,0.333,0.152,0.091,0.182,0.455,0.214,0,0.219,0.273,0.182,0.212,0.212,0.121,0.212,0.226,0.212,0.407,0.182,0.152,0.152,0.182,0.121,0.182,0.179,0.152,0.182,0.121,0.152,0.182,0.121,0.091,0.152,0.182,0.273,0.188,0.273,0.182,0.364,0.156,0.152,0.152,0.212,0.621,0.333,0.152,0.303,0.182,0.212,0.182,0.545,0.303,0.156,0.242,0.152,0.182,0.333,0.121,0.121,0.212,0.208,0.152,0.129,0.281,0.242,0.182,0.37,0.531,0.531,0.333,0.233,0.606,0.429,0.625,0.581,0.636,0.545,0.577,0.429,0.241,0.417,0.464,0.464,0.357,0.536,0.345
"88",0.625,0.531,0.719,0.435,0.645,0.808,0.767,0.143,0.094,0.161,0.219,0.125,0.125,0.094,0.406,0.214,0.219,0,0.156,0.094,0.125,0.125,0.094,0.125,0.2,0.188,0.385,0.094,0.062,0.062,0.094,0.094,0.031,0.111,0.125,0.156,0.094,0.062,0.125,0.156,0.125,0.062,0.094,0.344,0.129,0.219,0.094,0.281,0.065,0.125,0.125,0.156,0.571,0.25,0.062,0.281,0.094,0.188,0.094,0.5,0.281,0.097,0.219,0.062,0.156,0.281,0.125,0.094,0.219,0.13,0.125,0.1,0.226,0.188,0.125,0.423,0.516,0.613,0.478,0.207,0.688,0.481,0.71,0.7,0.656,0.688,0.72,0.333,0.214,0.545,0.593,0.593,0.481,0.519,0.286
"104",0.515,0.515,0.727,0.292,0.656,0.852,0.806,0.207,0.182,0.156,0.303,0.212,0.212,0.182,0.394,0.286,0.273,0.156,0,0.182,0.212,0.212,0.182,0.212,0.226,0.273,0.333,0.182,0.152,0.152,0.182,0.182,0.182,0.214,0.212,0.242,0.182,0.152,0.242,0.242,0.212,0.152,0.121,0.394,0.219,0.242,0.182,0.242,0.156,0.212,0.212,0.152,0.414,0.212,0.152,0.364,0.182,0.212,0.182,0.485,0.242,0.156,0.242,0.152,0.242,0.273,0.182,0.182,0.212,0.25,0.212,0.194,0.312,0.182,0.182,0.407,0.5,0.5,0.375,0.267,0.697,0.5,0.688,0.677,0.667,0.667,0.692,0.429,0.276,0.417,0.536,0.536,0.429,0.464,0.276
"131",0.636,0.606,0.727,0.458,0.594,0.778,0.742,0.103,0.061,0.188,0.242,0.091,0.091,0.061,0.424,0.179,0.182,0.094,0.182,0,0.091,0.091,0.061,0.091,0.161,0.152,0.296,0.061,0.03,0.03,0.061,0.061,0.061,0.107,0.091,0.152,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.273,0.094,0.242,0.061,0.242,0.031,0.091,0.091,0.121,0.586,0.212,0.03,0.212,0,0.152,0.061,0.424,0.242,0.062,0.182,0.03,0.091,0.303,0.091,0.061,0.182,0.083,0.091,0.065,0.188,0.152,0.091,0.407,0.562,0.594,0.458,0.133,0.636,0.393,0.656,0.645,0.606,0.636,0.654,0.286,0.172,0.333,0.536,0.536,0.393,0.464,0.241
