"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"489",0.667,0.606,0.758,0.458,0.594,0.778,0.742,0.103,0.061,0.188,0.242,0.091,0.091,0.061,0.424,0.179,0.182,0.094,0.182,0.061,0.091,0.091,0.061,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0,0.061,0.061,0.071,0.091,0.182,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.273,0.031,0.242,0,0.242,0.031,0.091,0.091,0.121,0.586,0.212,0.03,0.273,0.061,0.121,0.061,0.455,0.242,0.062,0.182,0.03,0.121,0.303,0.091,0.061,0.182,0.125,0.091,0.065,0.188,0.152,0.091,0.444,0.562,0.625,0.458,0.167,0.667,0.429,0.656,0.645,0.606,0.636,0.654,0.321,0.172,0.333,0.571,0.571,0.429,0.464,0.241
"517",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0,0.188,0.242,0.03,0.03,0.061,0.424,0.107,0.121,0.094,0.182,0.061,0.091,0.091,0,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0,0.061,0.071,0.091,0.121,0,0.03,0.061,0.061,0.03,0.03,0.061,0.242,0.094,0.182,0.061,0.242,0.031,0.091,0.03,0.121,0.552,0.212,0.03,0.273,0.061,0.091,0.061,0.455,0.182,0.062,0.182,0.03,0.061,0.303,0.03,0.061,0.121,0.083,0.03,0,0.188,0.152,0.091,0.37,0.562,0.562,0.375,0.167,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.286,0.138,0.333,0.5,0.5,0.357,0.464,0.241
"547",0.636,0.545,0.727,0.458,0.594,0.778,0.742,0.103,0.061,0.188,0.242,0.091,0.091,0.061,0.424,0.179,0.182,0.031,0.182,0.061,0.091,0.091,0.061,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0.061,0,0.071,0.091,0.182,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.303,0.094,0.242,0.061,0.242,0.031,0.091,0.091,0.121,0.586,0.212,0.03,0.242,0.061,0.152,0.061,0.455,0.242,0.062,0.182,0.03,0.121,0.303,0.091,0.061,0.182,0.083,0.091,0.065,0.188,0.152,0.091,0.444,0.531,0.625,0.458,0.167,0.667,0.429,0.656,0.645,0.636,0.636,0.654,0.321,0.172,0.417,0.571,0.571,0.429,0.464,0.241
"614",0.643,0.571,0.714,0.474,0.593,0.773,0.731,0.125,0.071,0.222,0.214,0.107,0.107,0.107,0.5,0.167,0.179,0.111,0.214,0.107,0.107,0.107,0.071,0.143,0.231,0.179,0.409,0.107,0.071,0.071,0.071,0.071,0.071,0,0.143,0.214,0.071,0.071,0.143,0.143,0.107,0.071,0.071,0.25,0.074,0.25,0.071,0.321,0.074,0.107,0.107,0.179,0.615,0.286,0.071,0.321,0.107,0.107,0.107,0.5,0.214,0.111,0.25,0.071,0.143,0.357,0.107,0.107,0.179,0.19,0.107,0.077,0.185,0.214,0.107,0.455,0.556,0.63,0.421,0.2,0.714,0.478,0.63,0.615,0.607,0.643,0.619,0.375,0.2,0.333,0.609,0.609,0.435,0.435,0.208
"618",0.667,0.606,0.758,0.417,0.594,0.778,0.742,0.103,0.091,0.188,0.273,0.121,0.061,0.091,0.424,0.214,0.152,0.125,0.212,0.091,0.121,0.121,0.091,0.121,0.194,0.121,0.37,0.091,0.061,0.061,0.091,0.091,0.091,0.143,0,0.152,0.091,0.061,0.152,0.091,0.061,0.061,0.091,0.242,0.125,0.242,0.091,0.273,0.062,0.061,0.091,0.152,0.552,0.242,0.061,0.242,0.091,0.182,0.03,0.455,0.273,0.094,0.212,0.061,0.152,0.242,0.121,0.03,0.212,0.167,0.121,0.097,0.188,0.152,0.121,0.444,0.562,0.625,0.375,0.2,0.606,0.393,0.656,0.613,0.636,0.576,0.615,0.357,0.207,0.417,0.571,0.571,0.464,0.464,0.276
"796",0.606,0.576,0.697,0.375,0.562,0.852,0.806,0.138,0.121,0.25,0.303,0.121,0.091,0.152,0.455,0.214,0.182,0.156,0.242,0.152,0.212,0.212,0.121,0.182,0.258,0.182,0.407,0.152,0.152,0.152,0.182,0.121,0.182,0.214,0.152,0,0.121,0.152,0.182,0.121,0.091,0.152,0.182,0.273,0.219,0.212,0.182,0.333,0.156,0.152,0.152,0.242,0.552,0.303,0.152,0.303,0.152,0.212,0.182,0.515,0.242,0.188,0.273,0.152,0.121,0.273,0.152,0.121,0.212,0.167,0.121,0.129,0.312,0.273,0.212,0.37,0.594,0.562,0.375,0.233,0.636,0.393,0.625,0.581,0.606,0.606,0.577,0.321,0.207,0.5,0.5,0.5,0.393,0.536,0.31
"910",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0,0.188,0.242,0.03,0.03,0.061,0.424,0.107,0.121,0.094,0.182,0.061,0.091,0.091,0,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0,0.061,0.071,0.091,0.121,0,0.03,0.061,0.061,0.03,0.03,0.061,0.242,0.094,0.182,0.061,0.242,0.031,0.091,0.03,0.121,0.552,0.212,0.03,0.273,0.061,0.091,0.061,0.455,0.182,0.062,0.182,0.03,0.061,0.303,0.03,0.061,0.121,0.083,0.03,0,0.188,0.152,0.091,0.37,0.562,0.562,0.375,0.167,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.286,0.138,0.333,0.5,0.5,0.357,0.464,0.241
"927",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.03,0.156,0.212,0.061,0.061,0.03,0.394,0.143,0.152,0.062,0.152,0.03,0.061,0.061,0.03,0.061,0.129,0.121,0.296,0.03,0,0,0.03,0.03,0.03,0.071,0.061,0.152,0.03,0,0.091,0.091,0.061,0,0.03,0.273,0.062,0.212,0.03,0.212,0,0.061,0.061,0.091,0.552,0.182,0,0.242,0.03,0.121,0.03,0.424,0.212,0.031,0.152,0,0.091,0.273,0.061,0.03,0.152,0.083,0.061,0.032,0.156,0.121,0.061,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
"945",0.606,0.545,0.758,0.458,0.562,0.741,0.71,0.103,0.061,0.25,0.242,0.091,0.091,0.121,0.485,0.143,0.182,0.125,0.242,0.121,0.091,0.091,0.061,0.091,0.161,0.212,0.333,0.121,0.091,0.091,0.121,0.061,0.121,0.143,0.152,0.182,0.061,0.091,0,0.121,0.091,0.091,0.121,0.303,0.156,0.182,0.121,0.242,0.062,0.152,0.091,0.182,0.552,0.212,0.091,0.333,0.121,0.152,0.121,0.455,0.242,0.125,0.182,0.091,0.121,0.303,0.091,0.121,0.182,0.167,0.091,0.065,0.25,0.212,0.152,0.407,0.562,0.562,0.417,0.2,0.606,0.429,0.625,0.613,0.515,0.576,0.615,0.286,0.207,0.333,0.5,0.5,0.357,0.5,0.276
"999",0.606,0.545,0.727,0.333,0.562,0.815,0.774,0.103,0.061,0.25,0.303,0.091,0.03,0.121,0.455,0.179,0.121,0.156,0.242,0.121,0.152,0.152,0.061,0.152,0.226,0.091,0.37,0.121,0.091,0.091,0.121,0.061,0.121,0.143,0.091,0.121,0.061,0.091,0.121,0,0.03,0.091,0.121,0.242,0.156,0.212,0.121,0.273,0.094,0.091,0.091,0.182,0.517,0.273,0.091,0.242,0.121,0.152,0.121,0.515,0.242,0.125,0.242,0.091,0.121,0.303,0.091,0.061,0.182,0.167,0.091,0.065,0.219,0.212,0.152,0.37,0.562,0.562,0.375,0.2,0.636,0.357,0.625,0.581,0.606,0.545,0.577,0.286,0.172,0.333,0.536,0.536,0.393,0.5,0.276
"1175",0.636,0.576,0.727,0.375,0.562,0.815,0.774,0.069,0.03,0.219,0.273,0.061,0,0.091,0.455,0.143,0.091,0.125,0.212,0.091,0.121,0.121,0.03,0.121,0.194,0.121,0.37,0.091,0.061,0.061,0.091,0.03,0.091,0.107,0.061,0.091,0.03,0.061,0.091,0.03,0,0.061,0.091,0.212,0.125,0.182,0.091,0.273,0.062,0.061,0.061,0.152,0.552,0.242,0.061,0.242,0.091,0.121,0.091,0.485,0.212,0.094,0.212,0.061,0.091,0.273,0.061,0.03,0.152,0.125,0.061,0.032,0.219,0.182,0.121,0.407,0.594,0.594,0.333,0.2,0.636,0.357,0.625,0.581,0.606,0.545,0.577,0.321,0.172,0.417,0.536,0.536,0.393,0.5,0.276
"1241",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.03,0.156,0.212,0.061,0.061,0.03,0.394,0.143,0.152,0.062,0.152,0.03,0.061,0.061,0.03,0.061,0.129,0.121,0.296,0.03,0,0,0.03,0.03,0.03,0.071,0.061,0.152,0.03,0,0.091,0.091,0.061,0,0.03,0.273,0.062,0.212,0.03,0.212,0,0.061,0.061,0.091,0.552,0.182,0,0.242,0.03,0.121,0.03,0.424,0.212,0.031,0.152,0,0.091,0.273,0.061,0.03,0.152,0.083,0.061,0.032,0.156,0.121,0.061,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
"1242",0.606,0.545,0.697,0.375,0.625,0.815,0.774,0.103,0.061,0.188,0.242,0.091,0.091,0.061,0.424,0.179,0.182,0.094,0.121,0.061,0.091,0.091,0.061,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0.061,0.061,0.071,0.091,0.182,0.061,0.03,0.121,0.121,0.091,0.03,0,0.303,0.094,0.182,0.061,0.242,0.031,0.091,0.091,0.121,0.517,0.212,0.03,0.273,0.061,0.152,0.061,0.455,0.182,0.062,0.182,0.03,0.121,0.303,0.091,0.061,0.182,0.125,0.091,0.065,0.188,0.152,0.091,0.37,0.5,0.562,0.375,0.167,0.667,0.429,0.688,0.677,0.636,0.636,0.692,0.321,0.172,0.333,0.571,0.571,0.429,0.393,0.172
"1243",0.576,0.636,0.667,0.458,0.562,0.778,0.742,0.241,0.242,0.312,0.424,0.273,0.212,0.303,0.455,0.286,0.273,0.344,0.394,0.273,0.273,0.273,0.242,0.333,0.419,0.273,0.593,0.303,0.273,0.273,0.273,0.242,0.303,0.25,0.242,0.273,0.242,0.273,0.303,0.242,0.212,0.273,0.303,0,0.312,0.333,0.273,0.485,0.281,0.242,0.242,0.303,0.552,0.455,0.273,0.394,0.273,0.242,0.273,0.394,0.364,0.281,0.424,0.273,0.273,0.333,0.242,0.242,0.303,0.333,0.273,0.258,0.375,0.303,0.242,0.519,0.625,0.562,0.458,0.333,0.606,0.464,0.594,0.581,0.606,0.545,0.577,0.5,0.414,0.5,0.571,0.571,0.5,0.464,0.379
"1245",0.688,0.625,0.75,0.458,0.594,0.778,0.742,0.143,0.094,0.226,0.25,0.125,0.125,0.094,0.469,0.222,0.188,0.129,0.219,0.094,0.125,0.125,0.094,0.125,0.194,0.188,0.333,0.094,0.062,0.062,0.031,0.094,0.094,0.074,0.125,0.219,0.094,0.062,0.156,0.156,0.125,0.062,0.094,0.312,0,0.281,0.031,0.281,0.065,0.125,0.125,0.156,0.643,0.25,0.062,0.312,0.094,0.156,0.094,0.5,0.281,0.097,0.219,0.062,0.156,0.344,0.125,0.094,0.219,0.174,0.125,0.097,0.194,0.188,0.125,0.444,0.581,0.645,0.478,0.172,0.656,0.407,0.677,0.667,0.625,0.656,0.654,0.37,0.179,0.364,0.556,0.556,0.444,0.481,0.25
"1270",0.485,0.485,0.697,0.292,0.594,0.852,0.839,0.241,0.182,0.312,0.303,0.212,0.182,0.242,0.485,0.321,0.273,0.219,0.242,0.242,0.212,0.212,0.182,0.212,0.29,0.303,0.407,0.242,0.212,0.212,0.242,0.182,0.242,0.25,0.242,0.212,0.182,0.212,0.182,0.212,0.182,0.212,0.182,0.333,0.281,0,0.242,0.364,0.188,0.242,0.212,0.303,0.379,0.273,0.212,0.424,0.242,0.273,0.242,0.515,0.303,0.25,0.303,0.212,0.242,0.333,0.212,0.212,0.303,0.333,0.212,0.194,0.375,0.333,0.273,0.296,0.5,0.438,0.375,0.267,0.697,0.5,0.656,0.677,0.667,0.606,0.654,0.5,0.345,0.417,0.571,0.571,0.464,0.464,0.241
"1315",0.667,0.606,0.758,0.458,0.594,0.778,0.742,0.103,0.061,0.188,0.242,0.091,0.091,0.061,0.424,0.179,0.182,0.094,0.182,0.061,0.091,0.091,0.061,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0,0.061,0.061,0.071,0.091,0.182,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.273,0.031,0.242,0,0.242,0.031,0.091,0.091,0.121,0.586,0.212,0.03,0.273,0.061,0.121,0.061,0.455,0.242,0.062,0.182,0.03,0.121,0.303,0.091,0.061,0.182,0.125,0.091,0.065,0.188,0.152,0.091,0.444,0.562,0.625,0.458,0.167,0.667,0.429,0.656,0.645,0.606,0.636,0.654,0.321,0.172,0.333,0.571,0.571,0.429,0.464,0.241
"1319",0.455,0.455,0.727,0.417,0.5,0.741,0.645,0.276,0.242,0.312,0.364,0.242,0.273,0.212,0.333,0.321,0.364,0.281,0.242,0.242,0.212,0.212,0.242,0.182,0.161,0.242,0.111,0.182,0.212,0.212,0.242,0.242,0.242,0.321,0.273,0.333,0.242,0.212,0.242,0.273,0.273,0.212,0.242,0.485,0.281,0.364,0.242,0,0.188,0.273,0.273,0.212,0.379,0.091,0.212,0.424,0.242,0.273,0.242,0.394,0.303,0.25,0.152,0.212,0.303,0.242,0.273,0.242,0.273,0.25,0.242,0.258,0.344,0.242,0.273,0.37,0.5,0.5,0.5,0.2,0.576,0.393,0.531,0.516,0.576,0.515,0.577,0.321,0.241,0.25,0.464,0.464,0.321,0.5,0.31
"1352",0.625,0.562,0.75,0.435,0.581,0.769,0.733,0.071,0.031,0.161,0.188,0.062,0.062,0.031,0.406,0.148,0.156,0.065,0.156,0.031,0.031,0.031,0.031,0.031,0.1,0.125,0.269,0.031,0,0,0.031,0.031,0.031,0.074,0.062,0.156,0.031,0,0.062,0.094,0.062,0,0.031,0.281,0.065,0.188,0.031,0.188,0,0.062,0.062,0.094,0.536,0.156,0,0.25,0.031,0.125,0.031,0.406,0.219,0.032,0.125,0,0.094,0.25,0.062,0.031,0.156,0.087,0.062,0.033,0.161,0.125,0.062,0.407,0.516,0.581,0.417,0.133,0.625,0.407,0.645,0.633,0.594,0.594,0.64,0.296,0.143,0.273,0.519,0.519,0.37,0.429,0.207
"1424",0.697,0.636,0.758,0.458,0.625,0.778,0.742,0.138,0.091,0.188,0.273,0.121,0.061,0.091,0.455,0.179,0.152,0.125,0.212,0.091,0.121,0.121,0.091,0.121,0.194,0.121,0.37,0.091,0.061,0.061,0.091,0.091,0.091,0.107,0.061,0.152,0.091,0.061,0.152,0.091,0.061,0.061,0.091,0.242,0.125,0.242,0.091,0.273,0.062,0,0.121,0.152,0.552,0.242,0.061,0.242,0.091,0.182,0.091,0.455,0.273,0.094,0.212,0.061,0.152,0.273,0.121,0.03,0.182,0.167,0.121,0.097,0.219,0.182,0.121,0.481,0.562,0.656,0.375,0.2,0.606,0.429,0.656,0.613,0.667,0.576,0.615,0.321,0.207,0.417,0.571,0.571,0.429,0.464,0.276
"1448",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0.03,0.188,0.273,0.061,0.061,0.091,0.424,0.143,0.152,0.125,0.212,0.091,0.121,0.121,0.03,0.121,0.194,0.182,0.37,0.091,0.061,0.061,0.091,0.03,0.091,0.107,0.091,0.152,0.03,0.061,0.091,0.091,0.061,0.061,0.091,0.242,0.125,0.212,0.091,0.273,0.062,0.121,0,0.152,0.552,0.242,0.061,0.303,0.091,0.121,0.061,0.455,0.212,0.094,0.212,0.061,0.091,0.303,0.061,0.091,0.152,0.125,0.061,0.032,0.188,0.152,0.121,0.37,0.562,0.562,0.375,0.2,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.321,0.172,0.333,0.5,0.5,0.393,0.464,0.276
"1505",0.606,0.606,0.758,0.375,0.562,0.741,0.71,0.138,0.121,0.219,0.303,0.152,0.152,0.121,0.364,0.214,0.212,0.156,0.152,0.121,0.152,0.152,0.121,0.152,0.226,0.212,0.296,0.121,0.091,0.091,0.121,0.121,0.121,0.179,0.152,0.242,0.121,0.091,0.182,0.182,0.152,0.091,0.121,0.303,0.156,0.303,0.121,0.212,0.094,0.152,0.152,0,0.517,0.182,0.091,0.303,0.121,0.212,0.121,0.394,0.212,0.094,0.242,0.091,0.182,0.242,0.121,0.121,0.152,0.083,0.152,0.129,0.25,0.03,0.121,0.407,0.531,0.594,0.458,0.2,0.636,0.429,0.656,0.645,0.606,0.606,0.654,0.321,0.172,0.333,0.5,0.5,0.357,0.393,0.276
"1506",0.379,0.414,0.69,0.286,0.679,0.84,0.778,0.52,0.552,0.5,0.517,0.552,0.552,0.552,0.345,0.52,0.621,0.571,0.414,0.586,0.483,0.483,0.552,0.517,0.5,0.448,0.458,0.517,0.552,0.552,0.586,0.552,0.586,0.615,0.552,0.552,0.552,0.552,0.552,0.517,0.552,0.552,0.517,0.552,0.643,0.379,0.586,0.379,0.536,0.552,0.552,0.517,0,0.379,0.552,0.69,0.586,0.552,0.552,0.448,0.448,0.571,0.483,0.552,0.621,0.379,0.552,0.552,0.517,0.667,0.552,0.571,0.643,0.517,0.517,0.348,0.464,0.321,0.476,0.5,0.655,0.667,0.607,0.63,0.69,0.586,0.667,0.577,0.577,0.364,0.583,0.583,0.5,0.5,0.4
"1573",0.455,0.455,0.788,0.375,0.562,0.704,0.71,0.241,0.212,0.281,0.333,0.212,0.242,0.182,0.394,0.321,0.333,0.25,0.212,0.212,0.182,0.182,0.212,0.152,0.129,0.242,0.074,0.152,0.182,0.182,0.212,0.212,0.212,0.286,0.242,0.303,0.212,0.182,0.212,0.273,0.242,0.182,0.212,0.455,0.25,0.273,0.212,0.091,0.156,0.242,0.242,0.182,0.379,0,0.182,0.424,0.212,0.242,0.212,0.364,0.273,0.219,0.152,0.182,0.273,0.212,0.242,0.212,0.242,0.25,0.212,0.226,0.344,0.212,0.242,0.407,0.5,0.438,0.458,0.2,0.576,0.393,0.594,0.581,0.576,0.576,0.538,0.357,0.241,0.25,0.464,0.464,0.321,0.464,0.276
"1611",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.03,0.156,0.212,0.061,0.061,0.03,0.394,0.143,0.152,0.062,0.152,0.03,0.061,0.061,0.03,0.061,0.129,0.121,0.296,0.03,0,0,0.03,0.03,0.03,0.071,0.061,0.152,0.03,0,0.091,0.091,0.061,0,0.03,0.273,0.062,0.212,0.03,0.212,0,0.061,0.061,0.091,0.552,0.182,0,0.242,0.03,0.121,0.03,0.424,0.212,0.031,0.152,0,0.091,0.273,0.061,0.03,0.152,0.083,0.061,0.032,0.156,0.121,0.061,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
"1646",0.697,0.667,0.818,0.625,0.656,0.778,0.774,0.31,0.273,0.375,0.455,0.303,0.242,0.273,0.576,0.357,0.303,0.281,0.364,0.212,0.303,0.303,0.273,0.303,0.355,0.273,0.407,0.273,0.242,0.242,0.273,0.273,0.242,0.321,0.242,0.303,0.273,0.242,0.333,0.242,0.242,0.242,0.273,0.394,0.312,0.424,0.273,0.424,0.25,0.242,0.303,0.303,0.69,0.424,0.242,0,0.212,0.364,0.273,0.606,0.455,0.25,0.394,0.242,0.273,0.424,0.273,0.212,0.364,0.208,0.303,0.258,0.344,0.333,0.273,0.63,0.625,0.719,0.5,0.333,0.758,0.571,0.719,0.677,0.758,0.727,0.692,0.464,0.379,0.5,0.714,0.714,0.571,0.643,0.448
"1734",0.636,0.606,0.727,0.458,0.594,0.778,0.742,0.103,0.061,0.188,0.242,0.091,0.091,0.061,0.424,0.179,0.182,0.094,0.182,0,0.091,0.091,0.061,0.091,0.161,0.152,0.296,0.061,0.03,0.03,0.061,0.061,0.061,0.107,0.091,0.152,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.273,0.094,0.242,0.061,0.242,0.031,0.091,0.091,0.121,0.586,0.212,0.03,0.212,0,0.152,0.061,0.424,0.242,0.062,0.182,0.03,0.091,0.303,0.091,0.061,0.182,0.083,0.091,0.065,0.188,0.152,0.091,0.407,0.562,0.594,0.458,0.133,0.636,0.393,0.656,0.645,0.606,0.636,0.654,0.286,0.172,0.333,0.536,0.536,0.393,0.464,0.241
"1735",0.606,0.545,0.758,0.458,0.625,0.852,0.806,0.138,0.091,0.219,0.303,0.121,0.121,0.152,0.485,0.179,0.212,0.188,0.212,0.152,0.152,0.152,0.091,0.182,0.194,0.212,0.37,0.152,0.121,0.121,0.121,0.091,0.152,0.107,0.182,0.212,0.091,0.121,0.152,0.152,0.121,0.121,0.152,0.242,0.156,0.273,0.121,0.273,0.125,0.182,0.121,0.212,0.552,0.242,0.121,0.364,0.152,0,0.152,0.515,0.242,0.156,0.212,0.121,0.152,0.364,0.121,0.152,0.212,0.208,0.121,0.097,0.25,0.242,0.152,0.481,0.656,0.562,0.458,0.267,0.667,0.429,0.625,0.613,0.545,0.576,0.615,0.393,0.241,0.417,0.536,0.536,0.393,0.536,0.31
"1738",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.061,0.156,0.242,0.091,0.091,0.061,0.394,0.179,0.182,0.094,0.182,0.061,0.091,0.091,0.061,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0.061,0.061,0.107,0.03,0.182,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.273,0.094,0.242,0.061,0.242,0.031,0.091,0.061,0.121,0.552,0.212,0.03,0.273,0.061,0.152,0,0.424,0.242,0.062,0.182,0.03,0.121,0.273,0.091,0.061,0.182,0.125,0.091,0.065,0.156,0.121,0.091,0.407,0.531,0.594,0.417,0.167,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.321,0.172,0.333,0.536,0.536,0.429,0.429,0.241
"1739",0.485,0.576,0.515,0.5,0.562,0.519,0.548,0.414,0.455,0.469,0.364,0.455,0.485,0.424,0.303,0.464,0.545,0.5,0.485,0.424,0.364,0.364,0.455,0.394,0.452,0.424,0.481,0.394,0.424,0.424,0.455,0.455,0.455,0.5,0.455,0.515,0.455,0.424,0.455,0.515,0.485,0.424,0.455,0.394,0.5,0.515,0.455,0.394,0.406,0.455,0.455,0.394,0.448,0.364,0.424,0.606,0.424,0.515,0.424,0,0.424,0.438,0.455,0.424,0.485,0.303,0.455,0.455,0.424,0.458,0.455,0.484,0.5,0.394,0.394,0.556,0.406,0.469,0.542,0.367,0.424,0.464,0.5,0.452,0.515,0.515,0.423,0.393,0.414,0.333,0.429,0.429,0.429,0.286,0.414
"1827",0.545,0.515,0.667,0.375,0.625,0.815,0.774,0.172,0.182,0.375,0.333,0.182,0.212,0.212,0.394,0.25,0.303,0.281,0.242,0.242,0.212,0.212,0.182,0.242,0.323,0.242,0.407,0.212,0.212,0.212,0.242,0.182,0.242,0.214,0.273,0.242,0.182,0.212,0.242,0.242,0.212,0.212,0.182,0.364,0.281,0.303,0.242,0.303,0.219,0.273,0.212,0.212,0.448,0.273,0.212,0.455,0.242,0.242,0.242,0.424,0,0.25,0.333,0.212,0.242,0.303,0.212,0.242,0.212,0.25,0.182,0.194,0.344,0.242,0.212,0.37,0.562,0.5,0.417,0.3,0.667,0.429,0.688,0.677,0.576,0.606,0.692,0.357,0.172,0.417,0.571,0.571,0.429,0.357,0.172
"1836",0.625,0.594,0.719,0.391,0.581,0.778,0.733,0.103,0.062,0.129,0.25,0.094,0.094,0.062,0.406,0.148,0.156,0.097,0.156,0.062,0.094,0.094,0.062,0.094,0.167,0.156,0.346,0.062,0.031,0.031,0.062,0.062,0.062,0.111,0.094,0.188,0.062,0.031,0.125,0.125,0.094,0.031,0.062,0.281,0.097,0.25,0.062,0.25,0.032,0.094,0.094,0.094,0.571,0.219,0.031,0.25,0.062,0.156,0.062,0.438,0.25,0,0.188,0.031,0.125,0.281,0.062,0.062,0.156,0.083,0.094,0.067,0.194,0.125,0.062,0.462,0.548,0.613,0.435,0.172,0.656,0.407,0.645,0.633,0.625,0.625,0.654,0.333,0.179,0.417,0.536,0.536,0.393,0.407,0.25
"1837",0.576,0.515,0.727,0.458,0.625,0.852,0.774,0.207,0.182,0.25,0.303,0.182,0.212,0.152,0.394,0.214,0.242,0.219,0.242,0.182,0.152,0.152,0.182,0.121,0.032,0.212,0.222,0.121,0.152,0.152,0.182,0.182,0.182,0.25,0.212,0.273,0.182,0.152,0.182,0.242,0.212,0.152,0.182,0.424,0.219,0.303,0.182,0.152,0.125,0.212,0.212,0.242,0.483,0.152,0.152,0.394,0.182,0.212,0.182,0.455,0.333,0.188,0,0.152,0.242,0.303,0.212,0.182,0.273,0.208,0.182,0.194,0.312,0.273,0.212,0.37,0.5,0.5,0.458,0.2,0.545,0.464,0.625,0.613,0.606,0.515,0.654,0.357,0.276,0.25,0.429,0.429,0.286,0.536,0.31
"1854",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.03,0.156,0.212,0.061,0.061,0.03,0.394,0.143,0.152,0.062,0.152,0.03,0.061,0.061,0.03,0.061,0.129,0.121,0.296,0.03,0,0,0.03,0.03,0.03,0.071,0.061,0.152,0.03,0,0.091,0.091,0.061,0,0.03,0.273,0.062,0.212,0.03,0.212,0,0.061,0.061,0.091,0.552,0.182,0,0.242,0.03,0.121,0.03,0.424,0.212,0.031,0.152,0,0.091,0.273,0.061,0.03,0.152,0.083,0.061,0.032,0.156,0.121,0.061,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
"1874",0.636,0.576,0.697,0.458,0.562,0.815,0.806,0.103,0.061,0.25,0.303,0.091,0.091,0.121,0.485,0.179,0.182,0.156,0.242,0.091,0.152,0.152,0.061,0.152,0.226,0.212,0.333,0.121,0.091,0.091,0.121,0.061,0.121,0.143,0.152,0.121,0.061,0.091,0.121,0.121,0.091,0.091,0.121,0.273,0.156,0.242,0.121,0.303,0.094,0.152,0.091,0.182,0.621,0.273,0.091,0.273,0.091,0.152,0.121,0.485,0.242,0.125,0.242,0.091,0,0.364,0.091,0.121,0.182,0.083,0.091,0.065,0.25,0.212,0.152,0.407,0.594,0.594,0.417,0.2,0.667,0.393,0.625,0.613,0.576,0.636,0.615,0.286,0.207,0.333,0.5,0.5,0.357,0.536,0.31
"1881",0.455,0.455,0.636,0.333,0.531,0.667,0.645,0.276,0.303,0.281,0.303,0.303,0.273,0.273,0.242,0.357,0.333,0.281,0.273,0.303,0.212,0.212,0.303,0.242,0.29,0.212,0.333,0.242,0.273,0.273,0.303,0.303,0.303,0.357,0.242,0.273,0.303,0.273,0.303,0.303,0.273,0.273,0.303,0.333,0.344,0.333,0.303,0.242,0.25,0.273,0.303,0.242,0.379,0.212,0.273,0.424,0.303,0.364,0.273,0.303,0.303,0.281,0.303,0.273,0.364,0,0.303,0.242,0.303,0.333,0.303,0.323,0.375,0.242,0.242,0.444,0.438,0.438,0.417,0.3,0.545,0.429,0.625,0.581,0.606,0.545,0.577,0.464,0.345,0.5,0.5,0.5,0.464,0.393,0.345
