"","01","A","B","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","RomFragD"
"044",0.472,0.423,0.453,0.5,0.6,0.51,0.244,0.208,0.133,0,0.208,0.189,0.226,0.358,0.294,0.308,0.28,0.283,0.264,0.208,0.208,0.189,0.245,0.312,0.25,0.349,0.17,0.17,0.226,0.208,0.189,0.208,0.208,0.264,0.189,0.189,0.189,0.226,0.226,0.226,0.208,0.151,0.321,0.288,0.189,0.189,0.415,0.208,0.208,0.17,0.264,0.373,0.377,0.17,0.321,0.226,0.264,0.264,0.453,0.245,0.212,0.302,0.17,0.226,0.453,0.283,0.264,0.264,0.25,0.245,0.186,0.239,0.283,0.245,0.455
"049",0.528,0.5,0.585,0.58,0.667,0.592,0.111,0.075,0.2,0.208,0,0.094,0.094,0.283,0.176,0.192,0.28,0.226,0.094,0.075,0.075,0.057,0.094,0.167,0.154,0.256,0.075,0.038,0.094,0.075,0.057,0.075,0.151,0.094,0.113,0.057,0.057,0.113,0.094,0.132,0.075,0.057,0.226,0.173,0.151,0.057,0.34,0.094,0.075,0.038,0.132,0.412,0.302,0.038,0.226,0.151,0.132,0.132,0.509,0.17,0.077,0.189,0.038,0.132,0.358,0.132,0.094,0.151,0.114,0.132,0.047,0.196,0.151,0.113,0.568
"056",0.528,0.519,0.585,0.6,0.667,0.592,0.133,0.094,0.178,0.189,0.094,0,0.094,0.34,0.176,0.212,0.26,0.208,0.151,0.094,0.094,0.075,0.094,0.188,0.154,0.279,0.075,0.057,0.075,0.094,0.038,0.057,0.17,0.113,0.113,0.038,0.075,0.132,0.113,0.151,0.094,0.075,0.208,0.154,0.132,0.075,0.34,0.075,0.057,0.057,0.151,0.392,0.302,0.057,0.208,0.132,0.151,0.113,0.509,0.17,0.096,0.189,0.057,0.151,0.434,0.151,0.113,0.151,0.182,0.094,0.07,0.196,0.17,0.094,0.591
"1",0.528,0.5,0.585,0.6,0.667,0.592,0.111,0.075,0.178,0.226,0.094,0.094,0,0.302,0.176,0.231,0.28,0.189,0.132,0.113,0.113,0.094,0.094,0.208,0.173,0.302,0.075,0.075,0.094,0.113,0.057,0.075,0.151,0.132,0.151,0.057,0.094,0.113,0.094,0.151,0.075,0.094,0.208,0.135,0.113,0.094,0.358,0.094,0.038,0.075,0.132,0.392,0.321,0.075,0.245,0.113,0.132,0.094,0.509,0.17,0.096,0.208,0.075,0.151,0.415,0.094,0.132,0.151,0.114,0.132,0.07,0.196,0.151,0.113,0.568
"6",0.453,0.442,0.472,0.52,0.667,0.612,0.267,0.302,0.356,0.358,0.283,0.34,0.302,0,0.373,0.385,0.3,0.321,0.34,0.283,0.283,0.302,0.34,0.354,0.308,0.279,0.283,0.283,0.34,0.283,0.302,0.283,0.377,0.358,0.321,0.302,0.264,0.34,0.321,0.34,0.302,0.283,0.415,0.404,0.321,0.302,0.321,0.34,0.302,0.283,0.283,0.314,0.34,0.283,0.377,0.358,0.34,0.358,0.434,0.283,0.269,0.34,0.283,0.34,0.302,0.34,0.358,0.283,0.273,0.34,0.326,0.391,0.302,0.34,0.432
"33",0.529,0.52,0.588,0.625,0.643,0.596,0.163,0.157,0.209,0.294,0.176,0.176,0.176,0.373,0,0.3,0.286,0.275,0.176,0.196,0.196,0.176,0.196,0.196,0.22,0.317,0.157,0.157,0.176,0.196,0.176,0.196,0.216,0.235,0.176,0.176,0.176,0.196,0.176,0.196,0.157,0.176,0.314,0.24,0.275,0.176,0.353,0.216,0.157,0.157,0.196,0.429,0.333,0.157,0.255,0.275,0.196,0.176,0.51,0.216,0.16,0.176,0.157,0.196,0.431,0.196,0.255,0.176,0.143,0.216,0.122,0.273,0.216,0.196,0.595
"69",0.481,0.431,0.5,0.571,0.759,0.542,0.222,0.192,0.227,0.308,0.192,0.212,0.231,0.385,0.3,0,0.286,0.212,0.212,0.192,0.192,0.154,0.231,0.234,0.25,0.286,0.212,0.154,0.173,0.192,0.173,0.192,0.25,0.212,0.25,0.173,0.173,0.192,0.173,0.25,0.192,0.173,0.231,0.235,0.269,0.173,0.308,0.212,0.192,0.154,0.192,0.38,0.288,0.154,0.308,0.192,0.212,0.212,0.5,0.269,0.176,0.231,0.154,0.25,0.423,0.269,0.173,0.231,0.279,0.25,0.186,0.283,0.212,0.173,0.545
"88",0.42,0.408,0.56,0.511,0.63,0.522,0.233,0.26,0.19,0.28,0.28,0.26,0.28,0.3,0.286,0.286,0,0.22,0.26,0.24,0.24,0.26,0.32,0.311,0.265,0.275,0.24,0.24,0.22,0.24,0.26,0.24,0.32,0.3,0.26,0.26,0.22,0.24,0.24,0.26,0.26,0.26,0.3,0.327,0.3,0.26,0.26,0.3,0.26,0.24,0.24,0.271,0.24,0.24,0.34,0.26,0.26,0.24,0.44,0.22,0.245,0.34,0.24,0.26,0.4,0.28,0.26,0.2,0.366,0.28,0.244,0.295,0.26,0.28,0.537
"104",0.415,0.385,0.509,0.58,0.7,0.571,0.244,0.208,0.222,0.283,0.226,0.208,0.189,0.321,0.275,0.212,0.22,0,0.226,0.226,0.226,0.208,0.226,0.292,0.269,0.349,0.226,0.189,0.17,0.226,0.17,0.189,0.283,0.208,0.245,0.17,0.208,0.245,0.226,0.264,0.208,0.208,0.264,0.231,0.208,0.208,0.302,0.208,0.17,0.189,0.208,0.333,0.245,0.189,0.34,0.17,0.226,0.189,0.434,0.245,0.192,0.283,0.189,0.264,0.34,0.226,0.17,0.208,0.227,0.264,0.233,0.326,0.226,0.17,0.477
"131",0.528,0.519,0.585,0.58,0.733,0.592,0.133,0.094,0.178,0.264,0.094,0.151,0.132,0.34,0.176,0.212,0.26,0.226,0,0.132,0.132,0.113,0.17,0.188,0.212,0.256,0.151,0.094,0.113,0.132,0.113,0.132,0.17,0.113,0.17,0.113,0.113,0.17,0.113,0.17,0.094,0.113,0.208,0.154,0.208,0.113,0.358,0.151,0.094,0.094,0.151,0.431,0.321,0.094,0.226,0.132,0.132,0.113,0.509,0.17,0.115,0.208,0.094,0.151,0.377,0.151,0.113,0.151,0.136,0.208,0.07,0.196,0.17,0.132,0.591
