"","01","B","D","F","G","K","L","P","044","049","1","6","33","104","131","205","209","226","323","326","330","424","440","460","489","517","547","618","630","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","2125","2147","2400","2412","2464","2495","2815","JerHomA"
"01",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"B",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"D",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"F",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"G",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"K",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"L",63,63,63,63,63,63,63,61,63,63,63,62,61,63,63,63,63,63,63,63,63,63,63,61,63,63,62,63,61,63,63,63,63,63,63,63,63,63,63,63,63,61,63,63,63,63,63,63,63,63,63,63,63,60,63,63,63,63,63,63,63,63,63,63,63,8
"P",62,62,62,62,62,62,61,62,62,62,62,61,60,62,62,62,62,62,62,62,62,62,62,60,62,62,61,62,60,62,62,62,62,62,62,62,62,62,62,62,62,60,62,62,62,62,62,62,62,62,62,62,62,59,62,62,62,62,62,62,62,62,62,62,62,8
"044",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"049",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"1",64,64,64,64,64,64,63,62,64,64,64,63,62,64,64,64,64,64,64,64,64,64,64,62,64,64,63,64,62,64,64,64,64,64,64,64,64,64,64,64,64,62,64,64,64,64,64,64,64,64,64,64,64,61,64,64,64,64,64,64,64,64,64,64,64,8
"6",63,63,63,63,63,63,62,61,63,63,63,63,61,63,63,63,63,63,63,63,63,63,63,61,63,63,62,63,61,63,63,63,63,63,63,63,63,63,63,63,63,61,63,63,63,63,63,63,63,63,63,63,63,60,63,63,63,63,63,63,63,63,63,63,63,8
