"","01","A","B","D","G","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2495","2815","Euches","RomFragD"
"69",0.481,0.431,0.5,0.571,0.542,0.192,0.227,0.308,0.192,0.212,0.231,0.385,0.3,0,0.286,0.212,0.212,0.192,0.192,0.154,0.231,0.234,0.25,0.286,0.212,0.154,0.173,0.192,0.173,0.192,0.25,0.212,0.25,0.173,0.173,0.192,0.173,0.25,0.192,0.173,0.231,0.235,0.269,0.173,0.308,0.212,0.192,0.154,0.192,0.38,0.288,0.154,0.308,0.192,0.212,0.212,0.5,0.269,0.176,0.231,0.154,0.25,0.423,0.269,0.173,0.231,0.279,0.25,0.212,0.173,0.875,0.545
"88",0.42,0.408,0.56,0.511,0.522,0.26,0.19,0.28,0.28,0.26,0.28,0.3,0.286,0.286,0,0.22,0.26,0.24,0.24,0.26,0.32,0.311,0.265,0.275,0.24,0.24,0.22,0.24,0.26,0.24,0.32,0.3,0.26,0.26,0.22,0.24,0.24,0.26,0.26,0.26,0.3,0.327,0.3,0.26,0.26,0.3,0.26,0.24,0.24,0.271,0.24,0.24,0.34,0.26,0.26,0.24,0.44,0.22,0.245,0.34,0.24,0.26,0.4,0.28,0.26,0.2,0.366,0.28,0.26,0.28,0.889,0.537
"104",0.415,0.385,0.509,0.58,0.571,0.208,0.222,0.283,0.226,0.208,0.189,0.321,0.275,0.212,0.22,0,0.226,0.226,0.226,0.208,0.226,0.292,0.269,0.349,0.226,0.189,0.17,0.226,0.17,0.189,0.283,0.208,0.245,0.17,0.208,0.245,0.226,0.264,0.208,0.208,0.264,0.231,0.208,0.208,0.302,0.208,0.17,0.189,0.208,0.333,0.245,0.189,0.34,0.17,0.226,0.189,0.434,0.245,0.192,0.283,0.189,0.264,0.34,0.226,0.17,0.208,0.227,0.264,0.226,0.17,0.778,0.477
"131",0.528,0.519,0.585,0.58,0.592,0.094,0.178,0.264,0.094,0.151,0.132,0.34,0.176,0.212,0.26,0.226,0,0.132,0.132,0.113,0.17,0.188,0.212,0.256,0.151,0.094,0.113,0.132,0.113,0.132,0.17,0.113,0.17,0.113,0.113,0.17,0.113,0.17,0.094,0.113,0.208,0.154,0.208,0.113,0.358,0.151,0.094,0.094,0.151,0.431,0.321,0.094,0.226,0.132,0.132,0.113,0.509,0.17,0.115,0.208,0.094,0.151,0.377,0.151,0.113,0.151,0.136,0.208,0.17,0.132,0.889,0.591
"205",0.547,0.519,0.604,0.62,0.612,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0,0,0.057,0.113,0.208,0.173,0.302,0.094,0.038,0.094,0.038,0.057,0.038,0.151,0.132,0.132,0.057,0.019,0.113,0.094,0.113,0.075,0.057,0.226,0.173,0.151,0.057,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.132,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.159,0.151,0.151,0.113,0.889,0.591
"209",0.547,0.519,0.604,0.62,0.612,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0,0,0.057,0.113,0.208,0.173,0.302,0.094,0.038,0.094,0.038,0.057,0.038,0.151,0.132,0.132,0.057,0.019,0.113,0.094,0.113,0.075,0.057,0.226,0.173,0.151,0.057,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.132,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.159,0.151,0.151,0.113,0.889,0.591
"226",0.528,0.481,0.566,0.58,0.571,0.057,0.178,0.189,0.057,0.075,0.094,0.302,0.176,0.154,0.26,0.208,0.113,0.057,0.057,0,0.094,0.167,0.154,0.256,0.075,0.019,0.075,0.057,0.038,0.057,0.132,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0.038,0.189,0.154,0.132,0.038,0.302,0.075,0.057,0.019,0.113,0.392,0.302,0.019,0.189,0.132,0.113,0.113,0.509,0.17,0.058,0.151,0.019,0.113,0.396,0.151,0.113,0.151,0.136,0.132,0.132,0.094,0.889,0.545
"323",0.566,0.538,0.623,0.64,0.633,0.113,0.222,0.245,0.094,0.094,0.094,0.34,0.196,0.231,0.32,0.226,0.17,0.113,0.113,0.094,0,0.229,0.192,0.326,0.113,0.075,0.094,0.113,0.057,0.075,0.17,0.113,0.132,0.057,0.094,0.113,0.132,0.17,0.113,0.094,0.226,0.154,0.151,0.094,0.358,0.094,0.075,0.075,0.17,0.431,0.34,0.075,0.245,0.151,0.17,0.132,0.509,0.208,0.115,0.226,0.075,0.17,0.396,0.17,0.132,0.189,0.182,0.113,0.17,0.094,0.889,0.568
"326",0.521,0.468,0.479,0.574,0.6,0.188,0.3,0.312,0.167,0.188,0.208,0.354,0.196,0.234,0.311,0.292,0.188,0.208,0.208,0.167,0.229,0,0.17,0.302,0.146,0.167,0.208,0.208,0.188,0.208,0.271,0.25,0.208,0.188,0.188,0.25,0.208,0.229,0.188,0.188,0.312,0.292,0.25,0.188,0.333,0.229,0.188,0.167,0.25,0.383,0.292,0.167,0.292,0.292,0.229,0.229,0.479,0.25,0.191,0.042,0.167,0.229,0.458,0.229,0.25,0.229,0.275,0.229,0.271,0.25,0.778,0.513
"330",0.423,0.451,0.519,0.49,0.542,0.154,0.227,0.25,0.154,0.154,0.173,0.308,0.22,0.25,0.265,0.269,0.212,0.173,0.173,0.154,0.192,0.17,0,0.238,0.115,0.135,0.192,0.173,0.154,0.173,0.231,0.231,0.173,0.154,0.154,0.212,0.173,0.192,0.135,0.154,0.288,0.255,0.25,0.154,0.269,0.173,0.154,0.135,0.212,0.32,0.25,0.135,0.25,0.25,0.212,0.212,0.442,0.212,0.137,0.173,0.135,0.192,0.346,0.25,0.212,0.192,0.209,0.135,0.231,0.212,0.75,0.523
"365",0.326,0.333,0.395,0.429,0.425,0.279,0.286,0.349,0.256,0.279,0.302,0.279,0.317,0.286,0.275,0.349,0.256,0.302,0.302,0.256,0.326,0.302,0.238,0,0.233,0.256,0.256,0.302,0.279,0.302,0.349,0.302,0.279,0.279,0.279,0.302,0.256,0.326,0.256,0.233,0.326,0.326,0.349,0.279,0.163,0.326,0.279,0.256,0.233,0.286,0.14,0.256,0.302,0.279,0.326,0.279,0.395,0.186,0.286,0.279,0.256,0.279,0.419,0.349,0.279,0.233,0.275,0.279,0.256,0.302,0.875,0.444
"424",0.472,0.462,0.528,0.56,0.551,0.094,0.156,0.17,0.075,0.075,0.075,0.283,0.157,0.212,0.24,0.226,0.151,0.094,0.094,0.075,0.113,0.146,0.115,0.233,0,0.057,0.113,0.094,0.075,0.094,0.17,0.151,0.094,0.075,0.075,0.094,0.113,0.151,0.094,0.075,0.245,0.192,0.132,0.075,0.302,0.113,0.094,0.057,0.151,0.353,0.264,0.057,0.208,0.132,0.151,0.151,0.453,0.151,0.096,0.151,0.057,0.151,0.396,0.151,0.151,0.132,0.136,0.113,0.17,0.132,0.778,0.523
"440",0.509,0.481,0.566,0.58,0.571,0.038,0.156,0.17,0.038,0.057,0.075,0.283,0.157,0.154,0.24,0.189,0.094,0.038,0.038,0.019,0.075,0.167,0.135,0.256,0.057,0,0.057,0.038,0.019,0.038,0.113,0.094,0.094,0.019,0.019,0.075,0.057,0.094,0.038,0.019,0.189,0.135,0.113,0.019,0.321,0.057,0.038,0,0.094,0.392,0.283,0,0.189,0.113,0.094,0.094,0.491,0.151,0.038,0.17,0,0.094,0.377,0.132,0.094,0.132,0.114,0.113,0.113,0.075,0.889,0.545
"460",0.528,0.5,0.585,0.58,0.571,0.094,0.178,0.226,0.094,0.075,0.094,0.34,0.176,0.173,0.22,0.17,0.113,0.094,0.094,0.075,0.094,0.208,0.192,0.256,0.113,0.057,0,0.094,0.038,0.057,0.17,0.075,0.151,0.038,0.075,0.132,0.113,0.113,0.094,0.075,0.17,0.115,0.132,0.075,0.34,0.075,0.057,0.057,0.151,0.392,0.302,0.057,0.245,0.094,0.151,0.038,0.509,0.17,0.096,0.226,0.057,0.113,0.396,0.113,0.075,0.151,0.182,0.132,0.17,0.057,0.889,0.591
"489",0.547,0.519,0.604,0.6,0.592,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0.038,0.038,0.057,0.113,0.208,0.173,0.302,0.094,0.038,0.094,0,0.057,0.038,0.132,0.132,0.132,0.057,0.019,0.113,0.094,0.132,0.075,0.057,0.208,0.135,0.151,0.019,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.113,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.159,0.151,0.151,0.113,0.889,0.591
"517",0.528,0.5,0.585,0.6,0.592,0.057,0.178,0.189,0.057,0.038,0.057,0.302,0.176,0.173,0.26,0.17,0.113,0.057,0.057,0.038,0.057,0.188,0.154,0.279,0.075,0.019,0.038,0.057,0,0.019,0.132,0.075,0.113,0,0.038,0.094,0.075,0.113,0.057,0.038,0.17,0.115,0.094,0.038,0.34,0.038,0.019,0.019,0.113,0.392,0.302,0.019,0.208,0.094,0.113,0.075,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.113,0.075,0.151,0.136,0.094,0.132,0.057,0.889,0.568
"547",0.547,0.519,0.604,0.62,0.612,0.075,0.2,0.208,0.075,0.057,0.075,0.283,0.196,0.192,0.24,0.189,0.132,0.038,0.038,0.057,0.075,0.208,0.173,0.302,0.094,0.038,0.057,0.038,0.019,0,0.151,0.094,0.132,0.019,0.019,0.113,0.094,0.132,0.075,0.057,0.189,0.135,0.113,0.057,0.358,0.057,0.038,0.038,0.132,0.412,0.321,0.038,0.208,0.113,0.132,0.094,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.132,0.094,0.132,0.159,0.113,0.151,0.075,0.889,0.591
"614",0.547,0.519,0.604,0.58,0.571,0.113,0.178,0.208,0.151,0.17,0.151,0.377,0.216,0.25,0.32,0.283,0.17,0.151,0.151,0.132,0.17,0.271,0.231,0.349,0.17,0.113,0.17,0.132,0.132,0.151,0,0.17,0.17,0.132,0.132,0.17,0.094,0.151,0.113,0.132,0.226,0.135,0.189,0.113,0.415,0.132,0.113,0.113,0.17,0.451,0.377,0.113,0.245,0.226,0.151,0.17,0.528,0.226,0.135,0.264,0.113,0.189,0.415,0.208,0.208,0.208,0.205,0.226,0.189,0.151,0.889,0.568
"618",0.566,0.538,0.623,0.6,0.612,0.113,0.2,0.264,0.094,0.113,0.132,0.358,0.235,0.212,0.3,0.208,0.113,0.132,0.132,0.113,0.113,0.25,0.231,0.302,0.151,0.094,0.075,0.132,0.075,0.094,0.17,0,0.151,0.075,0.113,0.151,0.151,0.189,0.132,0.113,0.208,0.115,0.17,0.113,0.377,0.113,0.094,0.094,0.189,0.431,0.34,0.094,0.245,0.132,0.189,0.075,0.528,0.208,0.135,0.264,0.094,0.189,0.377,0.151,0.075,0.189,0.182,0.151,0.208,0.057,0.889,0.614
"796",0.491,0.5,0.547,0.58,0.592,0.132,0.156,0.189,0.113,0.113,0.151,0.321,0.176,0.25,0.26,0.245,0.17,0.132,0.132,0.113,0.132,0.208,0.173,0.279,0.094,0.094,0.151,0.132,0.113,0.132,0.17,0.151,0,0.113,0.113,0.151,0.151,0.189,0.132,0.113,0.264,0.192,0.17,0.113,0.358,0.151,0.132,0.094,0.189,0.392,0.321,0.094,0.189,0.189,0.189,0.189,0.491,0.17,0.135,0.208,0.094,0.151,0.396,0.226,0.189,0.17,0.182,0.151,0.208,0.132,0.889,0.523
"910",0.528,0.5,0.585,0.6,0.592,0.057,0.178,0.189,0.057,0.038,0.057,0.302,0.176,0.173,0.26,0.17,0.113,0.057,0.057,0.038,0.057,0.188,0.154,0.279,0.075,0.019,0.038,0.057,0,0.019,0.132,0.075,0.113,0,0.038,0.094,0.075,0.113,0.057,0.038,0.17,0.115,0.094,0.038,0.34,0.038,0.019,0.019,0.113,0.392,0.302,0.019,0.208,0.094,0.113,0.075,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.113,0.075,0.151,0.136,0.094,0.132,0.057,0.889,0.568
"927",0.528,0.5,0.585,0.6,0.592,0.057,0.178,0.189,0.057,0.075,0.094,0.264,0.176,0.173,0.22,0.208,0.113,0.019,0.019,0.038,0.094,0.188,0.154,0.279,0.075,0.019,0.075,0.019,0.038,0.019,0.132,0.113,0.113,0.038,0,0.094,0.075,0.113,0.057,0.038,0.208,0.154,0.132,0.038,0.34,0.075,0.057,0.019,0.113,0.412,0.302,0.019,0.189,0.132,0.113,0.113,0.509,0.132,0.058,0.189,0.019,0.113,0.377,0.151,0.113,0.113,0.136,0.132,0.132,0.094,0.889,0.568
"945",0.528,0.5,0.604,0.62,0.571,0.113,0.156,0.226,0.113,0.132,0.113,0.34,0.196,0.192,0.24,0.245,0.17,0.113,0.113,0.094,0.113,0.25,0.212,0.302,0.094,0.075,0.132,0.113,0.094,0.113,0.17,0.151,0.151,0.094,0.094,0,0.094,0.17,0.113,0.094,0.226,0.192,0.151,0.094,0.358,0.132,0.113,0.075,0.132,0.412,0.321,0.075,0.245,0.151,0.17,0.17,0.491,0.226,0.115,0.245,0.075,0.17,0.434,0.17,0.17,0.208,0.182,0.189,0.151,0.132,0.889,0.568
"999",0.509,0.481,0.585,0.6,0.592,0.057,0.133,0.226,0.094,0.113,0.094,0.321,0.176,0.173,0.24,0.226,0.113,0.094,0.094,0.075,0.132,0.208,0.173,0.256,0.113,0.057,0.113,0.094,0.075,0.094,0.094,0.151,0.151,0.075,0.075,0.094,0,0.094,0.057,0.075,0.189,0.154,0.132,0.075,0.321,0.075,0.057,0.057,0.075,0.392,0.283,0.057,0.226,0.17,0.113,0.113,0.491,0.17,0.077,0.208,0.057,0.132,0.415,0.151,0.151,0.151,0.136,0.17,0.094,0.132,0.889,0.568
"1175",0.547,0.519,0.604,0.58,0.592,0.113,0.222,0.226,0.132,0.151,0.151,0.34,0.196,0.25,0.26,0.264,0.17,0.113,0.113,0.113,0.17,0.229,0.192,0.326,0.151,0.094,0.113,0.132,0.113,0.132,0.151,0.189,0.189,0.113,0.113,0.17,0.094,0,0.113,0.113,0.245,0.212,0.17,0.113,0.377,0.113,0.113,0.094,0.17,0.451,0.358,0.094,0.245,0.208,0.17,0.132,0.528,0.226,0.096,0.245,0.094,0.075,0.434,0.17,0.189,0.208,0.205,0.208,0.189,0.17,0.889,0.591
"1241",0.509,0.5,0.585,0.58,0.571,0.038,0.156,0.208,0.075,0.094,0.075,0.302,0.157,0.192,0.26,0.208,0.094,0.075,0.075,0.057,0.113,0.188,0.135,0.256,0.094,0.038,0.094,0.075,0.057,0.075,0.113,0.132,0.132,0.057,0.057,0.113,0.057,0.113,0,0.057,0.208,0.135,0.151,0.057,0.34,0.094,0.038,0.038,0.094,0.412,0.302,0.038,0.208,0.151,0.094,0.094,0.509,0.151,0.058,0.189,0.038,0.113,0.396,0.132,0.113,0.132,0.091,0.151,0.113,0.113,0.889,0.545
"1242",0.528,0.5,0.547,0.56,0.551,0.057,0.156,0.151,0.057,0.075,0.094,0.283,0.176,0.173,0.26,0.208,0.113,0.057,0.057,0.038,0.094,0.188,0.154,0.233,0.075,0.019,0.075,0.057,0.038,0.057,0.132,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0,0.208,0.154,0.094,0.038,0.302,0.075,0.057,0.019,0.113,0.373,0.264,0.019,0.208,0.094,0.113,0.113,0.491,0.132,0.058,0.189,0.019,0.113,0.377,0.151,0.113,0.151,0.091,0.132,0.132,0.094,0.889,0.545
"1243",0.491,0.481,0.566,0.54,0.551,0.208,0.2,0.321,0.226,0.208,0.208,0.415,0.314,0.231,0.3,0.264,0.208,0.226,0.226,0.189,0.226,0.312,0.288,0.326,0.245,0.189,0.17,0.208,0.17,0.189,0.226,0.208,0.264,0.17,0.208,0.226,0.189,0.245,0.208,0.208,0,0.212,0.245,0.189,0.377,0.208,0.17,0.189,0.189,0.353,0.377,0.189,0.283,0.208,0.226,0.189,0.472,0.283,0.173,0.302,0.189,0.226,0.434,0.245,0.208,0.245,0.273,0.264,0.208,0.17,0.889,0.568
"1245",0.538,0.51,0.577,0.58,0.583,0.135,0.205,0.288,0.173,0.154,0.135,0.404,0.24,0.235,0.327,0.231,0.154,0.173,0.173,0.154,0.154,0.292,0.255,0.326,0.192,0.135,0.115,0.135,0.115,0.135,0.135,0.115,0.192,0.115,0.154,0.192,0.154,0.212,0.135,0.154,0.212,0,0.212,0.115,0.404,0.154,0.096,0.135,0.192,0.46,0.327,0.135,0.269,0.173,0.173,0.115,0.558,0.212,0.157,0.288,0.135,0.212,0.442,0.192,0.154,0.192,0.233,0.212,0.212,0.096,0.889,0.581
"1270",0.547,0.5,0.547,0.62,0.612,0.151,0.2,0.189,0.151,0.132,0.113,0.321,0.275,0.269,0.3,0.208,0.208,0.151,0.151,0.132,0.151,0.25,0.25,0.349,0.132,0.113,0.132,0.151,0.094,0.113,0.189,0.17,0.17,0.094,0.132,0.151,0.132,0.17,0.151,0.094,0.245,0.212,0,0.132,0.396,0.094,0.113,0.113,0.208,0.353,0.358,0.113,0.302,0.113,0.208,0.17,0.528,0.226,0.154,0.245,0.113,0.208,0.434,0.17,0.17,0.245,0.182,0.189,0.226,0.151,0.889,0.545
"1315",0.528,0.5,0.585,0.58,0.571,0.057,0.178,0.189,0.057,0.075,0.094,0.302,0.176,0.173,0.26,0.208,0.113,0.057,0.057,0.038,0.094,0.188,0.154,0.279,0.075,0.019,0.075,0.019,0.038,0.057,0.113,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0.038,0.189,0.115,0.132,0,0.34,0.075,0.057,0.019,0.113,0.412,0.302,0.019,0.208,0.132,0.094,0.113,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.151,0.113,0.151,0.136,0.132,0.132,0.094,0.889,0.568
"1319",0.358,0.346,0.434,0.44,0.469,0.34,0.356,0.415,0.34,0.34,0.358,0.321,0.353,0.308,0.26,0.302,0.358,0.358,0.358,0.302,0.358,0.333,0.269,0.163,0.302,0.321,0.34,0.358,0.34,0.358,0.415,0.377,0.358,0.34,0.34,0.358,0.321,0.377,0.34,0.302,0.377,0.404,0.396,0.34,0,0.377,0.34,0.321,0.302,0.216,0.094,0.321,0.396,0.321,0.34,0.358,0.34,0.264,0.327,0.302,0.321,0.377,0.358,0.415,0.34,0.302,0.318,0.34,0.302,0.358,0.667,0.409
"1352",0.566,0.538,0.623,0.64,0.633,0.094,0.2,0.208,0.094,0.075,0.094,0.34,0.216,0.212,0.3,0.208,0.151,0.094,0.094,0.075,0.094,0.229,0.173,0.326,0.113,0.057,0.075,0.094,0.038,0.057,0.132,0.113,0.151,0.038,0.075,0.132,0.075,0.113,0.094,0.075,0.208,0.154,0.094,0.075,0.377,0,0.057,0.057,0.151,0.431,0.34,0.057,0.245,0.132,0.151,0.113,0.547,0.208,0.096,0.226,0.057,0.151,0.434,0.151,0.113,0.189,0.182,0.132,0.17,0.094,0.889,0.614
"1424",0.528,0.5,0.585,0.6,0.592,0.038,0.156,0.208,0.075,0.057,0.038,0.302,0.157,0.192,0.26,0.17,0.094,0.075,0.075,0.057,0.075,0.188,0.154,0.279,0.094,0.038,0.057,0.075,0.019,0.038,0.113,0.094,0.132,0.019,0.057,0.113,0.057,0.113,0.038,0.057,0.17,0.096,0.113,0.057,0.34,0.057,0,0.038,0.094,0.392,0.302,0.038,0.208,0.113,0.094,0.057,0.509,0.151,0.058,0.189,0.038,0.113,0.396,0.094,0.094,0.132,0.114,0.113,0.113,0.075,0.889,0.568
