"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"330",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"365",27,27,27,19,27,23,26,23,27,26,27,27,27,27,27,23,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,24,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,22,27,27,26,27,27,23,26,26,20,25,27,22,26,25,27,27,22,23,23,11,22,22,22,22,23
"424",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"440",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"460",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"489",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"517",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"547",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"614",28,28,28,19,27,22,26,24,28,27,28,28,28,28,28,24,28,27,28,28,28,28,28,28,26,28,22,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,28,28,28,26,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,21,28,26,27,28,28,22,27,27,19,25,28,23,27,26,28,28,21,24,25,9,23,23,23,23,24
"618",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"796",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"910",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"927",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"945",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"999",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1175",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1241",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1242",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1243",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1245",32,32,32,24,32,27,31,28,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,31,32,27,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,31,31,32,32,27,31,31,23,29,32,27,31,30,32,32,26,27,28,11,27,27,27,27,28
