"","P46","01","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","424-c","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","K","L","P","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-h","cop-sa","cop-bo","arm","slav"
"2464",32,36,38,38,38,38,38,33,38,37,38,37,38,38,38,37,38,38,9,38,38,37,38,38,38,38,38,38,37,38,38,38,37,37,37,38,34,37,38,38,38,36,31,33,35,36,37
"K",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
"L",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
"P",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
"it-ar",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"it-b",31,34,36,36,36,36,36,31,35,35,36,35,36,36,36,35,36,36,9,36,36,35,36,36,36,36,36,36,35,36,35,34,35,35,35,36,36,36,36,36,36,33,30,32,33,35,35
"it-d",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,38,38,38,39,36,39,39,39,39,36,33,34,36,37,38
"it-f",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"it-g",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"it-o",34,38,40,40,40,40,40,35,39,39,40,39,40,40,40,39,40,40,9,40,40,39,40,40,40,40,40,40,39,40,39,38,39,39,39,40,36,39,40,40,40,37,33,35,37,38,39
"vg",31,35,37,37,37,37,37,32,37,37,37,36,37,37,37,36,37,37,8,37,37,37,37,37,37,37,37,37,36,37,36,36,36,36,36,37,33,36,37,37,37,37,30,32,34,35,36
"syr-h",27,31,33,33,33,33,33,28,32,32,33,32,33,33,33,32,33,33,8,33,33,32,33,33,33,33,33,33,32,33,32,31,32,32,32,33,30,33,33,33,33,30,33,30,32,31,32
"cop-sa",29,34,35,35,35,35,35,31,34,34,35,34,35,35,35,34,35,35,9,35,35,34,35,35,35,35,35,35,34,35,34,33,34,34,34,35,32,34,35,35,35,32,30,35,34,33,34
"cop-bo",31,35,37,37,37,37,37,32,36,36,37,36,37,37,37,36,37,37,9,37,37,36,37,37,37,37,37,37,36,37,36,35,36,36,36,37,33,36,37,37,37,34,32,34,37,35,36
"arm",33,36,38,38,38,38,38,33,37,37,38,37,38,38,38,37,38,38,8,38,38,37,38,38,38,38,38,38,37,38,37,36,37,37,37,38,35,37,38,38,38,35,31,33,35,38,37
"slav",33,37,39,39,39,39,39,34,38,38,39,38,39,39,39,38,39,39,9,39,39,38,39,39,39,39,39,39,38,39,38,37,39,39,39,39,35,38,39,39,39,36,32,34,36,37,39
