,"1.7.1","1.7.2","1.8.1","1.8.2","1.8.3","1.10.1","1.10.2","1.10.3","1.10.4","1.12.1","1.12.2","2.2.1","2.2.2","2.7","2.8","2.15.1","2.15.2","2.16.1","2.16.2","2.16.3","3.3.1","3.3.2","3.3.3","3.3.4","3.5","3.6","3.7.1","3.7.2","3.7.3","3.7.4","3.7.5","3.9.1","3.9.2","3.10.1","3.10.2","3.13","3.15","3.16.1","3.16.2","3.18.1","3.18.2","3.18.3","4.3","4.4.1","4.4.2","4.4.3","4.10","4.16","4.17","5.8","5.10.1","5.10.2","5.10.3","5.20","6.7","8.9","10.18","11.14","11.23","12.9","12.10.1","12.10.2","12.11","12.19"
"205","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","1","3","1","2","1","1","1","2","1","3","1","8","2","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"209","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","1","2","1","1","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"226","2","1","2","5","5","1","6","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","1","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"323","2","1","1","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","2","3","1","2","1","1","1","2","1","1","1","8","2","9","1","1","1","1","3","1","2","2","1","2","2","1","1","1","1","1","1","2","2","6","2","1","3","1","2"
"326","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","5","1","2","1","2","2","1","3","1","1","1","3","1","2","1","1","1","1","1","1","1","8","1","9","1","1","1","1","3","4","1","2","3","2","1","1","1","2","1","2","1","3","2","6","2","1","1","3","2"
"330","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","2","8","3","3","2","1","1","1","2","1","3","1","4","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","1","1","6","2","1","3","3","2"
"365","2","1","1","1","1","1","2","2","2","1","1","2","1","1","1","1","1","2","1","1","2","1","3","1","1","8","3","1","2","1","1","1","2","1","2","1","8","1","9","1","1","1","1","3","3","2","2","3","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"424","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"440","2","1","2","2","4","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","4","1","2","1","1","2","2","1","3","1","8","1","9","1","1","1","4","3","1","2","2","3","2","1","1","1","1","1","2","1","2","2","6","2","1","3","3","2"
"460","2","1","NA","3","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","1","1","2","2","3","2","NA","1","1","1","1","1","1","1","2","6","2","1","3","3","2"
"489","2","1","2","5","5","1","3","1","3","1","4","2","1","1","1","1","1","2","1","2","2","2","3","3","1","8","3","1","2","1","1","2","2","1","3","1","8","2","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"517","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","1","1","8","1","9","2","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"547","2","1","NA","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","1","2","6","2","1","3","3","2"
"614","2","1","2","5","5","1","3","1","2","1","4","NA","1","1","1","1","1","2","1","NA","2","1","3","1","1","NA","NA","NA","NA","1","1","1","2","1","3","1","8","1","9","1","1","NA","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","1","2"
"618","2","1","2","5","5","1","3","2","5","1","4","2","2","1","1","1","1","2","1","2","2","1","3","1","1","2","3","5","2","4","1","1","2","1","3","3","8","1","9","3","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","4","2","2","6","2","1","3","3","2"
"630","2","1","1","1","1","3","3","1","3","1","1","2","1","1","1","1","1","1","1","1","2","1","3","3","1","8","NA","1","NA","1","2","1","2","1","3","1","8","1","9","1","1","1","1","3","1","1","1","1","2","1","1","1","2","1","1","1","2","1","6","2","1","2","3","1"
"796","2","1","2","5","5","1","3","1","3","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","8","5","4","2","1","1","1","2","1","3","1","8","1","9","1","3","1","1","3","1","2","2","1","2","2","1","1","1","1","1","1","2","2","NA","2","1","3","1","2"
"910","2","1","2","5","5","1","3","2","5","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","1","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"927","2","1","2","5","5","1","3","1","3","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","8","3","1","2","1","1","2","2","1","3","1","8","2","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"945","2","1","1","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","2","3","1","2","1","1","1","2","1","1","1","8","1","9","1","1","1","1","3","1","2","2","1","2","2","1","1","1","1","2","1","2","2","6","2","1","3","1","1"
"999","2","1","1","2","5","1","3","1","2","1","4","2","1","1","1","5","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","1","2","1","3","1","6","2","9","1","1","3","1","3","1","2","2","3","2","1","1","1","1","1","2","1","2","2","6","2","1","3","3","2"
