,"1.1","1.13","1.29","2.16","3.7","3.12","3.22","3.25","3.28","4.1","4.11","4.15","4.19","5.1","5.2","6.8","6.11","6.12","8.2","8.23","8.24.1","8.24.2","8.26","8.28","8.38","9.23","10.1","10.17","11.25","13.1","14.5","15.29","15.31"
"910","2","1","15","3","1","2","2","1","1","7","3","2","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"927","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"945","2","1","15","3","1","2","2","1","2","7","3","2","2","1","5","2","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"999","2","1","15","3","1","2","2","1","1","2","3","2","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","7","1","3","2"
"1175","2","1","15","3","1","2","2","1","1","7","3","2","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","7","1","3","2"
"1241","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1242","2","1","15","3","1","2","2","1","1","7","3","1","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1243","2","1","14","3","1","2","2","1","1","7","1","2","6","1","5","1","2","8","5","3","3","1","2","1","6","2","4","1","3","7","1","1","2"
"1245","NA","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","4","6","1","2","1","5","2","4","3","3","1","1","3","2"
"1270","2","1","15","3","2","2","1","1","2","7","3","1","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","1","3","2","1","3","2"
"1315","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","4","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1319","2","1","15","3","1","2","2","2","2","4","3","2","2","2","5","1","2","1","5","1","6","1","1","1","6","2","1","3","3","1","2","3","2"
"1352","2","1","15","3","1","2","2","1","NA","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1424","2","1","15","3","1","2","2","1","1","7","3","2","3","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","7","1","3","2"
"1448","2","1","15","3","1","2","2","1","1","7","3","2","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","2","2"
"1505","2","1","14","3","1","2","2","2","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","3","3","3","1","1","3","2"
"1506","2","NA","4","3","2","NA","1","2","2","2","1","1","NA","NA","5","1","2","1","5","1","6","1","1","1","6","2","2","1","2","3","2","5","2"
"1573","2","1","15","3","2","2","2","2","2","7","3","2","2","2","5","1","2","1","5","1","6","1","2","1","6","2","1","3","3","1","2","3","2"
"1611","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1646","2","3","16","3","1","2","2","1","1","9","3","2","2","2","2","1","2","8","5","1","4","3","2","2","6","2","4","3","3","7","1","3","2"
"1734","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","4","1","2","1","6","2","4","3","3","1","1","3","2"
"1735","2","1","15","3","1","2","2","1","1","7","4","2","2","1","5","1","2","8","5","3","6","1","2","1","6","2","4","3","3","1","2","3","2"
"1738","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","6","2"
"1739","2","1","2","3","1","1","2","2","2","7","1","2","1","2","5","1","1","1","1","1","3","1","2","1","6","2","1","1","2","1","1","1","2"
"1827","2","1","15","3","1","2","2","2","1","7","1","1","2","1","5","1","2","3","5","1","6","1","2","1","6","2","5","3","4","1","1","3","2"
"1836","2","1","NA","2","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1837","2","1","15","3","1","2","2","1","2","7","3","2","2","2","5","1","2","1","5","1","6","1","3","1","6","1","4","3","3","1","2","3","2"
"1854","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"1874","2","1","15","3","1","2","2","1","1","7","3","2","2","1","5","1","2","8","5","1","2","1","2","4","6","2","4","3","3","1","1","3","2"
"1881","2","1","1","3","1","2","1","2","2","7","1","2","2","2","5","1","2","1","5","1","6","1","2","1","6","2","1","3","3","7","1","1","2"
"1891","2","1","10","3","1","2","2","1","1","7","3","2","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
