,"1.1","1.4","1.8","1.9","1.14","1.23.1","1.23.2"," 1.24"," 1.29","2.1","2.8.1","2.8.2","2.13","2.14.1","2.14.2","2.16","2.17","3.2.1","3.2.2","3.3","3.5","3.8","3.10","3.22","3.25","3.28","3.30","4.2","5.13","6.8.1","6.8.2","6.11","6.12","8.14","8.21","8.23","8.24.1","8.24.2","8.26","8.28","8.38","9.1","9.19","9.23","10.1","10.8","13.1.1","13.1.2","13.7","14.9","14.10","15.19","15.24"
"945","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","2","4","1","2","1","1","1","2","1","4","3","2","2","2","1","2","8","4","1","1","6","1","2","1","6","1","2","2","4","1","2","2","2","2","1","1","2"
"999","2","1","1","2","1","1","1","2","15","1","1","2","2","1","4","3","3","4","1","1","2","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","2","2","4","1","2","2","2","2","1","1","2"
"1175","2","3","1","2","1","1","2","2","15","1","1","2","1","1","2","3","3","4","1","1","2","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1241","2","1","1","2","1","1","1","2","15","1","1","2","2","1","4","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","2","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1242","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","1","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1243","2","1","1","5","1","1","1","2","14","1","1","2","2","1","2","3","3","4","1","1","1","1","2","2","1","5","3","2","2","1","1","2","8","4","1","3","3","1","2","1","6","1","2","2","4","1","2","1","2","2","1","1","1"
"1245","NA","1","1","2","1","1","1","2","15","1","1","2","2","1","4","3","3","4","1","5","1","1","2","2","1","4","3","1","2","1","1","2","8","4","1","4","6","1","2","1","5","1","4","2","4","1","2","1","2","2","1","1","2"
"1270","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","2","1","1","1","2","1","2","1","1","1","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1315","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","4","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1319","2","1","1","4","1","1","1","1","15","2","1","1","2","1","2","3","3","1","1","1","1","4","1","2","2","4","1","2","2","1","1","2","1","2","1","1","6","1","1","1","6","1","2","2","1","1","1","1","2","1","1","1","2"
"1352","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","4","4","1","2","1","2","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1424","2","1","1","2","1","1","1","2","15","1","1","2","2","1","4","3","3","4","1","1","1","1","2","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1448","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1505","2","1","1","2","1","1","1","2","14","1","1","2","2","1","4","3","3","4","1","1","1","1","1","2","2","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","2","2","3","1","2","2","2","2","1","1","2"
"1506","2","1","1","NA","1","1","1","2","4","1","1","1","2","1","2","3","1","1","1","1","1","1","NA","1","2","1","1","2","2","1","1","2","1","2","1","1","6","1","1","1","6","2","2","2","2","1","1","1","1","1","1","1","1"
