Reference | Ranked distances
JerHomB | C (2/20); 01 (5/26); 1739 (5/26); 1837 (5/26); 056 (3/14); B (6/26); 88 (6/26); 104 (6/26); 326 (3/13); 1175 (6/26); 1573 (6/26); 69 (6/25); K (7/26); 1 (7/26); 6 (7/26); 33 (7/26); 131 (7/26); 205 (7/26); 209 (7/26); 226 (7/26); 323 (7/26); 440 (7/26); 517 (7/26); 547 (7/26); 1242 (7/26); 1245 (7/26); 1270 (7/26); 1319 (7/26); 1448 (7/26); 1738 (7/26); 1827 (7/26); 1854 (7/26); 2125 (7/26); 2495 (7/26); 2815 (7/26); 075 (7/25); 614 (7/25); L (7/24); 1352 (7/24); 460 (8/26); 489 (8/26); 618 (8/26); 796 (8/26); 945 (8/26); 999 (8/26); 1315 (8/26); 1424 (8/26); 1611 (8/26); 1734 (8/26); 1735 (8/26); 1891 (8/26); 1982 (8/25); 2344 (3/9); 044 (9/26); 910 (9/26); 927 (9/26); 1505 (9/26); 1646 (9/26); 1836 (9/26); 2147 (9/26); 2400 (9/26); A (8/23); P46 (8/22); 049 (5/13); 330 (10/26); 424 (5/13); 1241 (5/13); 2412 (10/26); PsSel (6/15); P (5/12); 1243 (11/26); 1874 (11/26); D (13/26)\*; 2464 (13/26)\*; G (15/26)\*; F (17/25)\*
JohnComA | MattComC (1/8); C (5/26); P46 (7/27); 1739 (9/34); Cels (4/14); B (10/34); A (10/32); 01 (11/34); 6 (11/34); 365 (9/27); 104 (12/34); 1573 (12/34); P (10/28); 075 (9/25); 424 (12/30); 1319 (14/34)\*; 1827 (14/34)\*; 1837 (14/34)\*; 1891 (14/34)\*; 614 (12/29)\*; 1245 (14/33); 326 (12/28)\*; 1241 (13/30); 2412 (13/30); 044 (15/34)\*; 33 (15/34)\*; 88 (15/34)\*; 205 (15/34)\*; 330 (15/34)\*; 547 (15/34)\*; 1242 (15/34)\*; 1424 (15/34)\*; 1854 (15/34)\*; 2125 (15/34)\*; 2147 (15/34)\*; 2815 (15/34)\*; RomFragA (4/9); 1352 (15/33)\*; L (16/34)\*; 1 (16/34)\*; 209 (16/34)\*; 226 (16/34)\*; 489 (16/34)\*; 910 (16/34)\*; 927 (16/34)\*; 999 (16/34)\*; 1175 (16/34)\*; 1243 (16/34)\*; 1315 (16/34)\*; 1448 (16/34)\*; 1734 (16/34)\*; 1735 (16/34)\*; 2495 (16/34)\*; K (16/32)\*; 049 (15/30)\*; 056 (6/12); 131 (17/34)\*; 323 (17/34)\*; 517 (17/34)\*; 945 (17/34)\*; 1505 (17/34)\*; 1836 (17/34)\*; 2400 (17/34)\*; 460 (17/33)\*; 440 (18/34)\*; 618 (18/34)\*; 796 (18/34)\*; 1270 (18/34)\*; 1738 (18/34)\*; D (17/31)\*; 1611 (19/34)\*; 1874 (19/34)\*; 1982 (19/33)\*; F (19/32)\*; 2344 (9/15)\*; 1646 (21/34)\*; 69 (13/21)\*; G (22/33)\*; 2464 (24/32)\*
JohnComB | C (1/20)\*; P (1/12); Cels (1/8); 1573 (4/26); 075 (3/19); 056 (3/17); 01 (5/26); B (5/26); 104 (5/26); 1175 (5/26); 1319 (5/26); 1735 (5/26); 1739 (5/26); A (5/25); P46 (5/22); 69 (5/22); 33 (6/26); K (6/25); 365 (3/12); 424 (4/15); 044 (7/26); 131 (7/26); 330 (7/26); 547 (7/26); 910 (7/26); 1270 (7/26); 1424 (7/26); 1448 (7/26); 1734 (7/26); 1827 (7/26); 1854 (7/26); 1891 (7/26); 2125 (7/25); L (8/26); 1 (8/26); 6 (8/26); 88 (8/26); 209 (8/26); 440 (8/26); 489 (8/26); 517 (8/26); 927 (8/26); 1242 (8/26); 1837 (8/26); 2147 (8/26); 2400 (8/26); 2495 (7/22); 1245 (8/25); 1352 (8/25); 2815 (8/25); D (8/24); 614 (8/24); 1241 (5/15); 205 (9/26); 226 (9/26); 323 (9/26); 618 (9/26); 945 (9/26); 1836 (9/26); 1874 (9/26); 1243 (9/25); 2344 (4/11); 326 (5/13); 460 (10/26); 796 (10/26); 999 (10/26); 1505 (10/26); 1611 (10/26); 1738 (10/26); 2412 (9/23); 049 (6/15); 1982 (10/25); 1315 (11/26); 1646 (11/26); G (11/25); F (11/24); 2464 (14/25)\*
Mart | B (4/9); 33 (4/8); 01 (5/9)\*; P (5/9)\*; 1739 (5/9)\*; C (5/8); D (6/9)\*; 044 (6/9)\*; 104 (6/9)\*; 945 (6/9)\*; 999 (6/9)\*; 1175 (6/9)\*; 1319 (6/9)\*; 1573 (6/9)\*; 1891 (6/9)\*; 365 (6/8)\*; 460 (6/8)\*; 547 (6/8)\*; 1836 (6/8)\*; G (7/9)\*; 075 (7/9)\*; 6 (7/9)\*; 69 (7/9)\*; 88 (7/9)\*; 323 (7/9)\*; 326 (7/9)\*; 330 (7/9)\*; 440 (7/9)\*; 1242 (7/9)\*; 1315 (7/9)\*; 1505 (7/9)\*; 1611 (7/9)\*; 1735 (7/9)\*; 2400 (7/9)\*; 2464 (7/9)\*; 2495 (7/9)\*; F (8/9)\*; K (8/9)\*; L (8/9)\*; 1 (8/9)\*; 131 (8/9)\*; 205 (8/9)\*; 209 (8/9)\*; 226 (8/9)\*; 424 (8/9)\*; 489 (8/9)\*; 517 (8/9)\*; 614 (8/9)\*; 618 (8/9)\*; 796 (8/9)\*; 910 (8/9)\*; 927 (8/9)\*; 1241 (8/9)\*; 1243 (8/9)\*; 1270 (8/9)\*; 1352 (8/9)\*; 1424 (8/9)\*; 1448 (8/9)\*; 1646 (8/9)\*; 1734 (8/9)\*; 1738 (8/9)\*; 1827 (8/9)\*; 1837 (8/9)\*; 1854 (8/9)\*; 1874 (8/9)\*; 1982 (8/9)\*; 2125 (8/9)\*; 2147 (8/9)\*; 2412 (8/9)\*; 2815 (8/9)\*; 049 (9/9)\*; 1245 (9/9)\*
MattComB | Cels (0/8); 2147 (1/12); L (2/13); 6 (2/13); 330 (2/13); 440 (2/13); 547 (2/13); 614 (2/13); 618 (2/13); 796 (2/13); 1242 (2/13); 1270 (2/13); 1352 (2/13); 1448 (2/13); 1505 (2/13); 1611 (2/13); 1734 (2/13); 1738 (2/13); 1739 (2/13); 1854 (2/13); 2125 (2/13); 2412 (2/13); 2495 (2/13); 2815 (2/13); 69 (2/11); 044 (3/13); 075 (3/13); 88 (3/13); 205 (3/13); 209 (3/13); 226 (3/13); 460 (3/13); 489 (3/13); 517 (3/13); 910 (3/13); 927 (3/13); 945 (3/13); 999 (3/13); 1243 (3/13); 1245 (3/13); 1315 (3/13); 1827 (3/13); 1982 (3/13); 2400 (3/13); K (4/13); 1 (4/13); 104 (4/13); 131 (4/13); 323 (4/13); 1319 (4/13); 1573 (4/13); 1646 (4/13); 1891 (4/13); P46 (4/12); 1836 (4/12); 01 (5/13); 33 (5/13); 1424 (5/13); 1837 (5/13); B (6/13); 1735 (6/13); 2464 (6/13); F (6/12); G (6/12); A (7/13); 1874 (7/13); C (5/9)\*; D (8/12)\*; 1175 (9/13)\*
MattComC | 1739 (4/29); C (4/23); Cels (2/11); 1573 (6/29); 01 (7/29); B (7/29); A (7/26); 6 (8/29); 1837 (8/29); 1891 (8/29); 2495 (8/29); 33 (8/28); 69 (8/27); 075 (7/23); BasilPhilA (4/13); 88 (9/29); 547 (9/29); 1319 (9/29); 1424 (9/29); 1448 (9/29); 1505 (9/29); 1611 (9/29); 1854 (9/29); 326 (4/12); 365 (3/9); K (10/29); 044 (10/29); 1 (10/29); 205 (10/29); 330 (10/29); 614 (10/29); 910 (10/29); 999 (10/29); 1242 (10/29); 1245 (10/29); 1270 (10/29); 1352 (10/29); 1734 (10/29); 1738 (10/29); 1827 (10/29); 2125 (10/29); 2815 (10/29); L (10/28); 424 (5/14); 2412 (10/27); 104 (11/29); 131 (11/29); 209 (11/29); 226 (11/29); 440 (11/29); 460 (11/29); 489 (11/29); 517 (11/29); 927 (11/29); 1175 (11/29); 1646 (11/29); 1735 (11/29); 1836 (11/29); 2147 (11/29); 056 (8/21); P (5/13); 323 (12/29)\*; 618 (12/29)\*; 796 (12/29)\*; 1874 (12/29)\*; 2400 (12/29)\*; 1241 (6/14); 1982 (12/28)\*; 945 (13/29)\*; 1315 (13/29)\*; 2464 (13/29)\*; 1243 (14/29)\*; 2344 (5/10); RomFragA (4/8); D (15/29)\*; F (13/25)\*; P46 (12/21)\*; 049 (8/14)\*; G (17/29)\*
Princ | BasilPhilA (1/12); C (2/9); 69 (3/12); 1245 (3/12); 1319 (3/12); 1573 (3/12); 1611 (3/12); 1739 (3/12); 1827 (3/12); 1837 (3/12); 2147 (3/12); 01 (4/12); B (4/12); K (4/12); 075 (3/9); 1 (4/12); 6 (4/12); 33 (4/12); 88 (4/12); 205 (4/12); 209 (4/12); 226 (4/12); 330 (4/12); 460 (4/12); 489 (4/12); 517 (4/12); 547 (4/12); 614 (4/12); 618 (4/12); 910 (4/12); 927 (4/12); 1242 (4/12); 1243 (4/12); 1270 (4/12); 1448 (4/12); 1505 (4/12); 1734 (4/12); 1735 (4/12); 1738 (4/12); 1836 (4/12); 1854 (4/12); 1891 (4/12); 1982 (4/12); 2125 (4/12); 2412 (4/12); 2815 (4/12); L (4/11); 044 (5/12); 104 (5/12); 131 (5/12); 440 (5/12); 796 (5/12); 999 (5/12); 1315 (5/12); 1352 (5/12); 1424 (5/12); 1646 (5/12); 2400 (5/12); 2495 (5/12); A (4/9); 056 (4/9); P46 (5/10); F (5/10); G (6/12); 323 (6/12); 945 (6/12); 1175 (6/12); 1874 (6/12); 2464 (6/12); D (7/12)\*
PsFrag | PsSel (2/10); P (3/10); 049 (5/12); 424 (5/12); 1241 (5/12); 365 (4/9); 131 (12/25)\*; 323 (12/25)\*; 489 (12/25)\*; 927 (12/25)\*; 1315 (12/25)\*; 205 (13/25)\*; 440 (13/25)\*; 460 (13/25)\*; 547 (13/25)\*; 618 (13/25)\*; 796 (13/25)\*; 945 (13/25)\*; 999 (13/25)\*; 1242 (13/25)\*; 1243 (13/25)\*; 1424 (13/25)\*; 1448 (13/25)\*; 1573 (13/25)\*; 1735 (13/25)\*; 1738 (13/25)\*; 1827 (13/25)\*; 2125 (13/25)\*; 2400 (13/25)\*; 2815 (13/25)\*; 056 (8/15)\*; A (13/24)\*; 1836 (13/24)\*; G (14/25)\*; K (14/25)\*; L (14/25)\*; 1 (14/25)\*; 6 (14/25)\*; 33 (14/25)\*; 209 (14/25)\*; 226 (14/25)\*; 330 (14/25)\*; 517 (14/25)\*; 614 (14/25)\*; 910 (14/25)\*; 1175 (14/25)\*; 1245 (14/25)\*; 1270 (14/25)\*; 1505 (14/25)\*; 1734 (14/25)\*; 1854 (14/25)\*; 2412 (14/25)\*; 2495 (14/25)\*; 075 (13/23)\*; 326 (7/12)\*; 1352 (14/24)\*; 88 (15/25)\*; 104 (15/25)\*; 1646 (15/25)\*; 1739 (15/25)\*; 1837 (15/25)\*; 1874 (15/25)\*; 1982 (15/25)\*; 2147 (15/25)\*; 2464 (15/25)\*; F (14/23)\*; 69 (14/23)\*; 2344 (7/11)\*; 01 (16/25)\*; B (16/25)\*; D (16/25)\*; 044 (16/25)\*; 1319 (16/25)\*; 1611 (16/25)\*; P46 (14/20)\*; C (12/17)\*; 1891 (18/25)\*
PsSel | 365 (3/17); 424 (5/23); 1241 (5/23); 2344 (4/18); 6 (10/39); 2495 (10/39); 049 (6/23); L (10/38); 044 (11/39); 1 (11/39); 131 (11/39); 226 (11/39); 323 (11/39); 440 (11/39); 945 (11/39); 1242 (11/39); 1245 (11/39); 1448 (11/39); 1734 (11/39); 1739 (11/39); 1854 (11/39); 2815 (11/39); 614 (11/38); 075 (9/31); P (6/20); 517 (12/39); 547 (12/39); 796 (12/39); 910 (12/39); 927 (12/39); 1270 (12/39); 1505 (12/39); 1573 (12/39); 1827 (12/39); 2125 (12/39); 33 (12/38); 1352 (12/38); 88 (13/39); 104 (13/39); 205 (13/39); 209 (13/39); 460 (13/39); 489 (13/39); 999 (13/39); 1315 (13/39); 1611 (13/39); 1738 (13/39); 2412 (13/39); 1982 (13/38); 056 (8/23); 326 (8/23); 69 (12/34); D (14/39); 618 (14/39); 1319 (14/39); 1837 (14/39); 2147 (14/39); 330 (14/38); B (15/39); C (10/26); K (15/39); 1424 (15/39); 1735 (15/39); 1891 (15/39); A (14/35); G (16/39); 1243 (16/39); 2400 (16/39); 01 (17/39)\*; 1175 (17/39)\*; 1836 (17/38)\*; 1646 (18/39)\*; Cels (6/13); P46 (15/31)\*; 1874 (19/39)\*; F (17/34)\*; BasilPhilA (6/12); 2464 (23/39)\*
RomFragC | Cels (0/8); C (1/13); P46 (3/14); A (7/24); P (7/21); 6 (8/24); 01 (9/24); B (9/24); 88 (9/24); 075 (5/13); K (10/24); 1175 (10/24); 1424 (10/24); 1739 (10/24); 999 (11/24); 1505 (11/24); 1573 (11/24); 1735 (11/24); 1827 (11/24); 1836 (11/24); 1837 (11/24); 1874 (11/24); 2495 (11/24); 614 (10/21); D (12/24)\*; L (12/24)\*; 044 (12/24)\*; 33 (12/24)\*; 104 (12/24)\*; 205 (12/24)\*; 209 (12/24)\*; 226 (12/24)\*; 326 (11/22)\*; 330 (12/24)\*; 365 (9/18); 927 (12/24)\*; 1242 (12/24)\*; 1352 (12/24)\*; 1448 (12/24)\*; 1611 (12/24)\*; 1854 (12/24)\*; 2147 (12/24)\*; 2412 (12/24)\*; RomFragA (7/14); G (13/24)\*; 1 (13/24)\*; 323 (13/24)\*; 440 (13/24)\*; 489 (13/24)\*; 517 (13/24)\*; 547 (13/24)\*; 796 (13/24)\*; 910 (13/24)\*; 945 (13/24)\*; 1243 (13/24)\*; 1245 (13/24)\*; 1270 (13/24)\*; 1319 (13/24)\*; 1646 (13/24)\*; 1734 (13/24)\*; 1891 (13/24)\*; 1982 (13/24)\*; 049 (12/22)\*; 424 (12/22)\*; 1241 (12/22)\*; 460 (14/24)\*; 1315 (14/24)\*; 1738 (14/24)\*; 2125 (14/24)\*; 2400 (14/24)\*; 2464 (14/24)\*; 2815 (14/24)\*; F (12/20)\*; 2344 (6/10); 131 (15/24)\*; 618 (15/24)\*; 69 (10/15)\*; 056 (9/12)\*
